National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-07-26T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,,
Volume ('000s),,
Industrials,"762,460","723,222","861,562","755,020","782,988",,
Mining,"894,732","917,577","1,106,587","1,099,052","1,045,561",,
TOTAL,"1,657,192","1,640,799","1,968,149","1,854,072","1,828,549",,
Value ($'000s),,
Industrials,"2,046,838","2,501,875","3,110,832","2,681,954","3,957,702",,
Mining,"625,010","754,833","959,343","1,038,754","1,464,603",,
TOTAL,"2,671,848","3,256,708","4,070,175","3,720,708","5,422,305",,
MOVEMENTS:,,
Industrials,,
Up,342,293,412,321,302,,
Down,241,288,206,272,285,,
Steady,177,165,178,203,183,,
TOTAL,760,746,796,796,770,,
Mining,,
Up,238,234,264,185,201,,
Down,208,212,192,237,224,,
Steady,213,196,184,195,218,,
TOTAL,659,642,640,617,643,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"204,937","228,624","494,170","695,297","277,264",,
Put Options,"170,862","164,591","238,129","404,418","241,638",,
TOTAL,"375,799","393,215","732,299","1,099,715","518,902",,
Value ($'000s),,
Call Options,"9,473","198,017","279,998","277,042","19,953",,
Put Options,"7,559","13,907","14,086","30,313","9,087",,
TOTAL,"17,032","211,924","294,084","307,355","29,040",,
MOVEMENTS:,,
Call Options,,
Up,245,180,494,404,187,,
Down,196,263,166,351,249,,
Steady,18,16,28,28,32,,
TOTAL,459,459,688,783,468,,
Put Options,,
Up,81,91,49,126,176,,
Down,324,279,463,422,285,,
Steady,13,20,8,36,28,,
TOTAL,418,390,520,584,489,,
,
