National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-08-27T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,,
Volume ('000s),,
Industrials,"1,093,335","1,095,358","1,045,647","1,248,567","1,060,730",,
Mining,"1,237,958","1,306,747","1,212,046","1,247,967","998,220",,
TOTAL,"2,331,293","2,402,105","2,257,693","2,496,534","2,058,950",,
Value ($'000s),,
Industrials,"3,727,933","3,926,525","3,564,730","4,077,890","4,384,505",,
Mining,"2,117,550","2,339,229","1,889,203","1,845,603","2,614,897",,
TOTAL,"5,845,483","6,265,754","5,453,933","5,923,493","6,999,402",,
MOVEMENTS:,,
Industrials,,
Up,194,365,303,378,214,,
Down,341,191,234,162,284,,
Steady,172,146,146,152,180,,
TOTAL,707,702,683,692,678,,
Mining,,
Up,240,362,261,270,268,,
Down,296,184,309,264,260,,
Steady,207,216,219,204,207,,
TOTAL,743,762,789,738,735,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"403,885","378,427","444,661","644,190","353,082",,
Put Options,"507,662","417,053","496,450","724,471","265,627",,
TOTAL,"911,547","795,480","941,111","1,368,661","618,709",,
Value ($'000s),,
Call Options,"30,555","23,071","20,329","39,835","34,141",,
Put Options,"62,097","52,828","59,030","83,532","23,937",,
TOTAL,"92,652","75,899","79,359","123,367","58,078",,
MOVEMENTS:,,
Call Options,,
Up,164,330,454,521,255,,
Down,531,299,304,278,370,,
Steady,30,24,34,29,40,,
TOTAL,725,653,792,828,665,,
Put Options,,
Up,504,201,295,279,195,,
Down,354,485,510,583,368,,
Steady,20,6,32,24,14,,
TOTAL,878,692,837,886,577,,
,
