National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-10-09T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct  4,Oct  5,Oct  6,Oct  7,Oct  8,,
Volume ('000s),,
Industrials,"563,563","897,006","1,092,735","993,745","976,277",,
Mining,"1,470,810","1,809,353","1,809,658","1,565,175","1,459,525",,
TOTAL,"2,034,374","2,706,359","2,902,393","2,558,921","2,435,803",,
Value ($'000s),,
Industrials,"1,627,131","3,130,307","3,797,289","3,194,298","2,830,017",,
Mining,"1,126,107","1,563,210","2,165,996","2,049,351","1,513,725",,
TOTAL,"2,753,238","4,693,518","5,963,285","5,243,650","4,343,743",,
MOVEMENTS:,,
Industrials,,
Up,305,252,390,306,268,,
Down,226,317,177,249,285,,
Steady,174,163,190,190,200,,
TOTAL,705,732,757,745,753,,
Mining,,
Up,290,216,406,348,348,,
Down,268,374,218,251,268,,
Steady,192,186,191,207,190,,
TOTAL,750,776,815,806,806,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"15,830","23,695","54,524","30,074","28,227",,
Put Options,"15,060","29,420","33,275","28,193","28,615",,
TOTAL,"30,890","53,115","87,799","58,267","56,842",,
Value ($'000s),,
Call Options,"7,102","8,439","58,749","12,100","13,294",,
Put Options,"5,641","9,283","12,119","10,849","11,075",,
TOTAL,"12,744","17,722","70,868","22,950","24,370",,
MOVEMENTS:,,
Call Options,,
Up,258,67,482,303,185,,
Down,99,286,121,158,218,,
Steady,16,17,19,27,19,,
TOTAL,373,370,622,488,422,,
Put Options,,
Up,55,206,33,96,166,,
Down,281,141,426,300,206,,
Steady,13,13,6,23,26,,
TOTAL,349,360,465,419,398,,
,
