National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-10-29T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 24,Oct 25,Oct 26,Oct 27,Oct 28,,
Volume ('000s),,
Industrials,"678,567","903,310","835,229","668,122","1,080,080",,
Mining,"1,046,122","969,204","881,065","676,001","1,313,103",,
TOTAL,"1,724,689","1,872,514","1,716,294","1,344,123","2,393,183",,
Value ($'000s),,
Industrials,"2,514,829","2,977,040","2,918,514","2,712,090","5,140,630",,
Mining,"1,586,382","1,704,309","1,485,554","1,666,883","3,093,737",,
TOTAL,"4,101,211","4,681,349","4,404,068","4,378,973","8,234,367",,
MOVEMENTS:,,
Industrials,,
Up,391,205,237,381,372,,
Down,157,310,268,126,202,,
Steady,148,175,179,139,152,,
TOTAL,696,690,684,646,726,,
Mining,,
Up,310,220,240,329,333,,
Down,199,266,279,155,212,,
Steady,226,250,217,179,218,,
TOTAL,735,736,736,663,763,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"369,539","321,520","423,362","737,390","650,392",,
Put Options,"329,415","310,833","355,200","277,777","474,047",,
TOTAL,"698,954","632,353","778,562","1,015,167","1,124,439",,
Value ($'000s),,
Call Options,"52,511","23,783","25,258","137,915","44,618",,
Put Options,"25,078","26,541","27,136","29,871","30,103",,
TOTAL,"77,589","50,324","52,394","167,786","74,721",,
MOVEMENTS:,,
Call Options,,
Up,518,298,301,833,598,,
Down,188,353,313,125,331,,
Steady,18,16,25,22,35,,
TOTAL,724,667,639,980,964,,
Put Options,,
Up,96,171,182,58,109,,
Down,574,463,408,635,721,,
Steady,3,10,11,5,14,,
TOTAL,673,644,601,698,844,,
,
