National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-07-12T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul  7,Jul  8,Jul  9,Jul 10,Jul 11,,
Volume ('000s),,
Industrials,"588,789","657,069","630,890","676,017","649,066",,
Mining,"914,632","886,726","887,294","1,104,711","927,659",,
TOTAL,"1,503,421","1,543,795","1,518,184","1,780,728","1,576,725",,
Value ($'000s),,
Industrials,"2,007,023","2,337,273","2,770,476","2,397,262","2,637,995",,
Mining,"781,022","770,157","864,739","761,517","760,640",,
TOTAL,"2,788,045","3,107,430","3,635,215","3,158,779","3,398,635",,
MOVEMENTS:,,
Industrials,,
Up,287,289,205,356,302,,
Down,316,315,384,249,288,,
Steady,170,170,154,160,160,,
TOTAL,773,774,743,765,750,,
Mining,,
Up,227,192,204,224,259,,
Down,187,201,219,171,162,,
Steady,188,208,186,186,194,,
TOTAL,602,601,609,581,615,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"126,982","155,816","174,802","344,524","217,837",,
Put Options,"128,632","143,594","200,699","119,324","152,880",,
TOTAL,"255,614","299,410","375,501","463,848","370,717",,
Value ($'000s),,
Call Options,"52,388","25,187","51,394","39,808","6,256",,
Put Options,"5,628","6,072","7,795","6,417","4,956",,
TOTAL,"58,016","31,259","59,189","46,225","11,212",,
MOVEMENTS:,,
Call Options,,
Up,216,105,54,166,242,,
Down,214,249,354,226,179,,
Steady,16,20,11,25,21,,
TOTAL,446,374,419,417,442,,
Put Options,,
Up,88,128,325,106,108,,
Down,288,183,153,219,281,,
Steady,16,42,14,16,22,,
TOTAL,392,353,492,341,411,,
,
