National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-01-18T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 13,Jan 14,Jan 15,Jan 16,Jan 17,,
Volume ('000s),,
Industrials,"641,116","758,041","656,710","728,314","864,768",,
Mining,"647,756","670,474","681,610","770,834","654,870",,
TOTAL,"1,288,872","1,428,515","1,338,320","1,499,148","1,519,638",,
Value ($'000s),,
Industrials,"1,883,844","3,015,779","2,397,544","3,087,334","2,516,525",,
Mining,"610,246","786,987","842,838","1,072,935","1,105,540",,
TOTAL,"2,494,090","3,802,766","3,240,382","4,160,269","3,622,065",,
MOVEMENTS:,,
Industrials,,
Up,249,156,384,439,256,,
Down,356,444,196,179,323,,
Steady,142,160,158,137,157,,
TOTAL,747,760,738,755,736,,
Mining,,
Up,194,165,206,219,210,,
Down,204,239,162,163,174,,
Steady,189,198,233,218,219,,
TOTAL,587,602,601,600,603,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"159,902","298,944","270,593","297,409","168,162",,
Put Options,"139,189","221,711","156,130","184,525","139,433",,
TOTAL,"299,091","520,655","426,723","481,934","307,595",,
Value ($'000s),,
Call Options,"6,945","26,619","19,058","20,837","13,078",,
Put Options,"6,254","10,320","10,019","11,813","7,405",,
TOTAL,"13,199","36,939","29,077","32,650","20,483",,
MOVEMENTS:,,
Call Options,,
Up,153,71,174,405,303,,
Down,284,512,306,189,227,,
Steady,19,4,22,21,10,,
TOTAL,456,587,502,615,540,,
Put Options,,
Up,206,451,210,101,110,,
Down,207,131,273,421,351,,
Steady,25,23,16,11,14,,
TOTAL,438,605,499,533,475,,
,
