National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-11-07T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov  2,Nov  3,Nov  4,Nov  5,Nov  6,,
Volume ('000s),,
Industrials,"723,941","957,310","778,930","477,872","750,887",,
Mining,"985,012","705,888","920,639","675,541","933,890",,
TOTAL,"1,708,953","1,663,198","1,699,569","1,153,413","1,684,777",,
Value ($'000s),,
Industrials,"3,568,855","2,996,873","3,949,920","2,156,590","3,609,862",,
Mining,"544,831","605,582","764,757","363,605","974,075",,
TOTAL,"4,113,686","3,602,455","4,714,677","2,520,195","4,583,937",,
MOVEMENTS:,,
Industrials,,
Up,273,441,387,268,375,,
Down,450,242,340,366,288,,
Steady,157,162,162,68,161,,
TOTAL,880,845,889,702,824,,
Mining,,
Up,129,148,190,127,149,,
Down,250,151,155,120,147,,
Steady,153,200,191,87,156,,
TOTAL,532,499,536,334,452,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"156,236","92,653","185,013","96,176","141,101",,
Put Options,"138,897","77,798","109,822","89,369","130,727",,
TOTAL,"295,133","170,451","294,835","185,545","271,828",,
Value ($'000s),,
Call Options,"9,122","3,264","8,464","4,437","7,655",,
Put Options,"12,754","5,075","9,094","6,380","10,190",,
TOTAL,"21,876","8,339","17,558","10,817","17,845",,
MOVEMENTS:,,
Call Options,,
Up,46,188,293,58,182,,
Down,406,173,196,237,231,,
Steady,5,15,23,10,22,,
TOTAL,457,376,512,305,435,,
Put Options,,
Up,340,86,80,162,161,,
Down,118,189,269,124,203,,
Steady,17,12,11,12,9,,
TOTAL,475,287,360,298,373,,
,
