National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-12-21T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 16,Dec 17,Dec 18,Dec 19,Dec 20,,
Volume ('000s),,
Industrials,"758,194","924,378","895,540","1,095,631","1,501,384",,
Mining,"458,425","594,254","588,967","558,719","843,686",,
TOTAL,"1,216,619","1,518,632","1,484,507","1,654,350","2,345,070",,
Value ($'000s),,
Industrials,"2,569,238","3,449,772","3,569,122","4,750,360","6,890,205",,
Mining,"611,081","701,290","835,341","1,095,136","2,106,087",,
TOTAL,"3,180,319","4,151,062","4,404,463","5,845,496","8,996,292",,
MOVEMENTS:,,
Industrials,,
Up,295,314,266,428,354,,
Down,285,243,297,152,247,,
Steady,146,164,165,148,138,,
TOTAL,726,721,728,728,739,,
Mining,,
Up,155,163,164,197,183,,
Down,231,213,209,172,180,,
Steady,189,223,189,218,213,,
TOTAL,575,599,562,587,576,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"233,842","707,256","537,294","842,423","345,921",,
Put Options,"254,011","468,168","361,117","668,990","252,530",,
TOTAL,"487,853","1,175,424","898,411","1,511,413","598,451",,
Value ($'000s),,
Call Options,"186,054","545,330","301,551","333,170","21,615",,
Put Options,"25,203","30,681","36,242","82,086","17,553",,
TOTAL,"211,257","576,011","337,793","415,256","39,168",,
MOVEMENTS:,,
Call Options,,
Up,108,221,155,621,563,,
Down,351,375,398,374,167,,
Steady,26,18,14,23,15,,
TOTAL,485,614,567,"1,018",745,,
Put Options,,
Up,234,236,278,232,52,,
Down,322,470,462,785,562,,
Steady,15,15,17,12,3,,
TOTAL,571,721,757,"1,029",617,,
,
