National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-09-05T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 31,Sep  1,Sep  2,Sep  3,Sep  4,,
Volume ('000s),,
Industrials,"1,085,606","964,934","976,131","914,391","891,345",,
Mining,"623,917","714,838","1,053,612","880,137","933,942",,
TOTAL,"1,709,523","1,679,772","2,029,743","1,794,528","1,825,287",,
Value ($'000s),,
Industrials,"4,500,615","4,318,594","4,785,171","4,276,839","4,583,851",,
Mining,"828,570","1,146,786","906,490","794,448","780,907",,
TOTAL,"5,329,185","5,465,380","5,691,661","5,071,287","5,364,758",,
MOVEMENTS:,,
Industrials,,
Up,289,244,262,266,362,,
Down,434,501,442,434,330,,
Steady,160,145,167,159,158,,
TOTAL,883,890,871,859,850,,
Mining,,
Up,169,126,117,151,135,,
Down,156,188,199,184,158,,
Steady,182,164,166,186,183,,
TOTAL,507,478,482,521,476,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"148,938","185,334","261,315","160,728","208,875",,
Put Options,"230,059","148,923","207,575","152,474","160,029",,
TOTAL,"378,997","334,257","468,890","313,202","368,904",,
Value ($'000s),,
Call Options,"7,718","9,306","50,458","7,619","20,129",,
Put Options,"15,391","14,800","84,179","16,159","54,000",,
TOTAL,"23,109","24,106","134,637","23,778","74,129",,
MOVEMENTS:,,
Call Options,,
Up,90,98,59,134,84,,
Down,336,345,501,303,381,,
Steady,18,9,12,25,21,,
TOTAL,444,452,572,462,486,,
Put Options,,
Up,290,374,495,282,263,,
Down,135,126,93,173,132,,
Steady,10,6,14,8,18,,
TOTAL,435,506,602,463,413,,
,
