National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-12-19T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 14,Dec 15,Dec 16,Dec 17,Dec 18,,
Volume ('000s),,
Industrials,"819,086","819,353","954,523","1,136,016","1,142,073",,
Mining,"899,887","1,389,747","1,090,659","773,708","1,178,902",,
TOTAL,"1,718,973","2,209,100","2,045,182","1,909,724","2,320,975",,
Value ($'000s),,
Industrials,"3,828,412","3,790,148","4,702,162","6,008,627","6,616,557",,
Mining,"742,996","736,839","969,885","985,234","1,761,957",,
TOTAL,"4,571,408","4,526,987","5,672,047","6,993,861","8,378,514",,
MOVEMENTS:,,
Industrials,,
Up,198,298,510,502,362,,
Down,553,440,219,251,332,,
Steady,143,177,163,151,194,,
TOTAL,894,915,892,904,888,,
Mining,,
Up,121,114,149,167,123,,
Down,210,184,175,172,191,,
Steady,180,203,177,176,166,,
TOTAL,511,501,501,515,480,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"254,630","830,958","344,564","577,861","235,399",,
Put Options,"242,449","283,544","372,736","470,890","106,142",,
TOTAL,"497,079","1,114,502","717,300","1,048,751","341,541",,
Value ($'000s),,
Call Options,"19,972","378,003","225,040","88,641","73,534",,
Put Options,"39,548","56,772","73,332","96,053","6,624",,
TOTAL,"59,520","434,775","298,372","184,694","80,158",,
MOVEMENTS:,,
Call Options,,
Up,58,57,299,475,149,,
Down,404,362,236,236,312,,
Steady,6,26,23,23,23,,
TOTAL,468,445,558,734,484,,
Put Options,,
Up,533,463,208,173,211,,
Down,91,142,463,584,170,,
Steady,13,16,12,8,11,,
TOTAL,637,621,683,765,392,,
,
