National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-02-22T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,,
Volume ('000s),,
Industrials,"864,083","763,888","958,222","1,123,160","992,236",,
Mining,"867,129","857,865","985,448","772,458","669,604",,
TOTAL,"1,731,212","1,621,753","1,943,670","1,895,618","1,661,840",,
Value ($'000s),,
Industrials,"3,558,375","3,052,024","4,444,844","4,496,274","3,743,707",,
Mining,"989,280","1,250,321","1,334,482","1,399,599","1,059,942",,
TOTAL,"4,547,655","4,302,345","5,779,326","5,895,873","4,803,649",,
MOVEMENTS:,,
Industrials,,
Up,357,284,358,320,388,,
Down,245,310,255,289,223,,
Steady,183,172,156,151,159,,
TOTAL,785,766,769,760,770,,
Mining,,
Up,254,174,187,177,213,,
Down,184,250,209,234,188,,
Steady,204,224,206,199,224,,
TOTAL,642,648,602,610,625,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"302,037","449,618","410,219","434,214","500,884",,
Put Options,"233,624","306,290","335,691","303,230","238,158",,
TOTAL,"535,661","755,908","745,910","737,444","739,042",,
Value ($'000s),,
Call Options,"144,173","146,690","71,385","47,696","66,824",,
Put Options,"10,219","14,231","11,675","11,446","16,083",,
TOTAL,"154,392","160,921","83,060","59,142","82,907",,
MOVEMENTS:,,
Call Options,,
Up,600,528,468,430,567,,
Down,128,205,264,315,183,,
Steady,27,31,37,47,25,,
TOTAL,755,764,769,792,775,,
Put Options,,
Up,16,89,121,214,89,,
Down,566,558,468,415,471,,
Steady,16,20,33,32,16,,
TOTAL,598,667,622,661,576,,
,
