National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-11-10T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov  5,Nov  6,Nov  7,Nov  8,Nov  9,,
Volume ('000s),,
Industrials,"629,349","508,255","720,526","762,209","778,954",,
Mining,"865,377","624,207","858,240","827,581","653,546",,
TOTAL,"1,494,726","1,132,462","1,578,766","1,589,790","1,432,500",,
Value ($'000s),,
Industrials,"2,504,460","1,748,709","2,785,242","3,639,774","4,599,367",,
Mining,"1,106,384","808,253","909,033","880,122","862,345",,
TOTAL,"3,610,844","2,556,962","3,694,275","4,519,896","5,461,712",,
MOVEMENTS:,,
Industrials,,
Up,217,238,301,182,211,,
Down,303,214,202,312,273,,
Steady,141,158,163,170,167,,
TOTAL,661,610,666,664,651,,
Mining,,
Up,206,194,256,158,205,,
Down,285,218,221,311,258,,
Steady,228,222,218,214,214,,
TOTAL,719,634,695,683,677,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"235,729","134,235","221,986","306,343","249,184",,
Put Options,"189,666","157,466","172,931","297,283","231,079",,
TOTAL,"425,395","291,701","394,917","603,626","480,263",,
Value ($'000s),,
Call Options,"31,383","31,617","13,967","238,245","17,600",,
Put Options,"7,621","13,230","9,202","9,858","10,968",,
TOTAL,"39,004","44,847","23,169","248,103","28,568",,
MOVEMENTS:,,
Call Options,,
Up,189,221,324,157,192,,
Down,283,132,204,331,309,,
Steady,27,32,27,18,25,,
TOTAL,499,385,555,506,526,,
Put Options,,
Up,234,87,120,255,261,,
Down,242,286,393,245,232,,
Steady,34,17,16,34,49,,
TOTAL,510,390,529,534,542,,
,
