National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-09-14T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep  9,Sep 10,Sep 11,Sep 12,Sep 13,,
Volume ('000s),,
Industrials,"614,279","680,906","979,940","901,937","818,247",,
Mining,"651,105","730,228","850,625","1,022,610","701,025",,
TOTAL,"1,265,384","1,411,134","1,830,565","1,924,547","1,519,272",,
Value ($'000s),,
Industrials,"2,621,232","2,804,501","3,361,395","3,607,158","3,407,904",,
Mining,"752,121","724,075","1,013,405","981,281","917,377",,
TOTAL,"3,373,353","3,528,576","4,374,800","4,588,439","4,325,281",,
MOVEMENTS:,,
Industrials,,
Up,355,329,329,325,241,,
Down,208,232,228,248,319,,
Steady,159,148,143,147,155,,
TOTAL,722,709,700,720,715,,
Mining,,
Up,238,179,201,204,154,,
Down,176,227,214,217,249,,
Steady,202,219,218,187,217,,
TOTAL,616,625,633,608,620,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"211,798","236,514","259,665","168,919","196,855",,
Put Options,"114,093","157,566","288,652","192,647","136,991",,
TOTAL,"325,891","394,080","548,317","361,566","333,846",,
Value ($'000s),,
Call Options,"17,269","15,535","56,767","24,745","215,665",,
Put Options,"6,183","11,064","14,273","9,247","8,234",,
TOTAL,"23,452","26,599","71,040","33,992","223,899",,
MOVEMENTS:,,
Call Options,,
Up,336,456,465,408,137,,
Down,163,129,165,158,294,,
Steady,20,20,20,23,18,,
TOTAL,519,605,650,589,449,,
Put Options,,
Up,47,40,80,68,207,,
Down,356,479,447,419,185,,
Steady,11,7,11,7,22,,
TOTAL,414,526,538,494,414,,
,
