National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-11-26T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25,,
Volume ('000s),,
Industrials,"863,903","1,210,269","1,003,377","1,288,308","1,070,358",,
Mining,"990,491","1,039,583","1,013,924","1,123,174","1,000,862",,
TOTAL,"1,854,394","2,249,852","2,017,301","2,411,482","2,071,220",,
Value ($'000s),,
Industrials,"2,275,123","3,575,861","2,959,194","3,903,707","3,569,423",,
Mining,"1,298,278","1,600,543","1,777,482","1,828,943","2,144,036",,
TOTAL,"3,573,401","5,176,404","4,736,676","5,732,650","5,713,459",,
MOVEMENTS:,,
Industrials,,
Up,212,149,159,167,185,,
Down,304,360,352,329,357,,
Steady,183,169,171,198,176,,
TOTAL,699,678,682,694,718,,
Mining,,
Up,180,146,158,182,175,,
Down,355,405,373,364,359,,
Steady,228,210,231,221,218,,
TOTAL,763,761,762,767,752,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"236,873","256,419","418,467","498,043","339,387",,
Put Options,"261,660","283,240","462,661","820,703","311,540",,
TOTAL,"498,533","539,659","881,128","1,318,746","650,927",,
Value ($'000s),,
Call Options,"9,167","49,468","18,921","41,174","14,921",,
Put Options,"20,931","40,338","52,506","114,329","30,854",,
TOTAL,"30,098","89,806","71,427","155,503","45,775",,
MOVEMENTS:,,
Call Options,,
Up,75,72,60,92,45,,
Down,481,518,576,658,735,,
Steady,19,27,12,26,19,,
TOTAL,575,617,648,776,799,,
Put Options,,
Up,407,499,625,608,716,,
Down,190,184,157,312,75,,
Steady,27,27,23,23,17,,
TOTAL,624,710,805,943,808,,
,
