National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-11-27T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 22,Nov 23,Nov 24,Nov 25,Nov 26,,
Volume ('000s),,
Industrials,"1,537,016","1,878,992","1,398,589","1,421,645","1,594,276",,
Mining,"1,448,587","1,444,726","1,426,031","1,413,344","1,339,141",,
TOTAL,"2,985,603","3,323,718","2,824,620","2,834,989","2,933,417",,
Value ($'000s),,
Industrials,"3,984,328","4,382,443","4,448,733","4,314,502","4,026,493",,
Mining,"1,568,079","1,849,966","2,082,455","1,651,618","2,459,377",,
TOTAL,"5,552,407","6,232,409","6,531,188","5,966,120","6,485,870",,
MOVEMENTS:,,
Industrials,,
Up,314,187,232,336,265,,
Down,255,399,332,230,268,,
Steady,195,196,200,188,218,,
TOTAL,764,782,764,754,751,,
Mining,,
Up,279,201,263,359,314,,
Down,308,432,348,262,272,,
Steady,222,219,230,213,219,,
TOTAL,809,852,841,834,805,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"31,218","55,339","56,589","92,222","36,067",,
Put Options,"26,176","68,006","66,706","83,845","34,214",,
TOTAL,"57,394","123,345","123,295","176,067","70,281",,
Value ($'000s),,
Call Options,"15,902","20,442","25,188","52,434","13,683",,
Put Options,"12,946","23,746","35,499","40,409","13,556",,
TOTAL,"28,848","44,188","60,687","92,843","27,239",,
MOVEMENTS:,,
Call Options,,
Up,146,76,92,193,148,,
Down,264,456,463,439,315,,
Steady,18,11,19,30,22,,
TOTAL,428,543,574,662,485,,
Put Options,,
Up,133,426,422,223,143,,
Down,261,150,211,432,283,,
Steady,10,11,16,25,30,,
TOTAL,404,587,649,680,456,,
,
