National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-03-28T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,,
Volume ('000s),,
Industrials,"700,851","707,257","760,922","745,202","841,905",,
Mining,"798,232","795,584","862,495","837,831","721,602",,
TOTAL,"1,499,083","1,502,841","1,623,417","1,583,033","1,563,507",,
Value ($'000s),,
Industrials,"2,904,634","3,006,510","3,699,381","4,055,193","5,544,992",,
Mining,"701,480","760,502","773,426","861,547","1,275,100",,
TOTAL,"3,606,114","3,767,012","4,472,807","4,916,740","6,820,092",,
MOVEMENTS:,,
Industrials,,
Up,331,349,331,204,367,,
Down,336,316,331,458,267,,
Steady,169,176,177,139,177,,
TOTAL,836,841,839,801,811,,
Mining,,
Up,191,171,165,171,167,,
Down,139,148,183,147,169,,
Steady,211,216,191,195,195,,
TOTAL,541,535,539,513,531,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"270,313","1,042,096","626,377","768,660","215,091",,
Put Options,"209,620","256,998","283,353","717,495","133,586",,
TOTAL,"479,933","1,299,094","909,730","1,486,155","348,677",,
Value ($'000s),,
Call Options,"138,718","1,144,132","544,124","260,385","43,254",,
Put Options,"21,241","23,894","40,329","83,823","7,038",,
TOTAL,"159,959","1,168,026","584,453","344,208","50,292",,
MOVEMENTS:,,
Call Options,,
Up,298,261,275,208,203,,
Down,197,233,253,565,294,,
Steady,17,21,14,8,18,,
TOTAL,512,515,542,781,515,,
Put Options,,
Up,99,134,155,434,158,,
Down,345,346,339,315,226,,
Steady,16,18,31,17,13,,
TOTAL,460,498,525,766,397,,
,
