National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-01-04T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 27,Dec 30,Dec 31,Jan  2,Jan  3,,
Volume ('000s),,
Industrials,"351,355","505,905","433,729","515,866","681,868",,
Mining,"328,478","500,636","325,612","429,491","494,564",,
TOTAL,"679,833","1,006,541","759,341","945,357","1,176,432",,
Value ($'000s),,
Industrials,"1,171,038","1,368,261","1,145,942","1,265,189","1,378,034",,
Mining,"292,620","499,661","329,691","450,776","534,194",,
TOTAL,"1,463,658","1,867,922","1,475,633","1,715,965","1,912,228",,
MOVEMENTS:,,
Industrials,,
Up,312,384,293,328,194,,
Down,225,171,226,230,353,,
Steady,152,155,147,153,153,,
TOTAL,689,710,666,711,700,,
Mining,,
Up,193,226,153,213,191,,
Down,114,137,154,127,156,,
Steady,157,188,181,194,176,,
TOTAL,464,551,488,534,523,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"80,087","132,684","82,664","156,295","113,414",,
Put Options,"114,835","75,369","119,409","145,086","106,554",,
TOTAL,"194,922","208,053","202,073","301,381","219,968",,
Value ($'000s),,
Call Options,"4,564","67,162","5,720","11,139","18,479",,
Put Options,"5,866","3,187","2,846","3,309","3,944",,
TOTAL,"10,430","70,349","8,566","14,448","22,423",,
MOVEMENTS:,,
Call Options,,
Up,300,295,172,363,145,,
Down,81,113,123,99,256,,
Steady,14,16,21,21,5,,
TOTAL,395,424,316,483,406,,
Put Options,,
Up,27,35,47,50,205,,
Down,322,290,242,303,167,,
Steady,15,9,22,14,23,,
TOTAL,364,334,311,367,395,,
,
