National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-11-08T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov  3,Nov  4,Nov  5,Nov  6,Nov  7,,
Volume ('000s),,
Industrials,"654,449","555,595","748,195","730,616","864,369",,
Mining,"747,915","605,733","675,454","833,769","723,263",,
TOTAL,"1,402,364","1,161,328","1,423,649","1,564,385","1,587,632",,
Value ($'000s),,
Industrials,"2,734,730","2,827,401","3,347,003","3,324,051","4,345,632",,
Mining,"735,837","622,952","787,981","813,131","928,473",,
TOTAL,"3,470,567","3,450,353","4,134,984","4,137,182","5,274,105",,
MOVEMENTS:,,
Industrials,,
Up,285,319,269,303,398,,
Down,316,259,358,337,233,,
Steady,181,172,169,161,173,,
TOTAL,782,750,796,801,804,,
Mining,,
Up,113,140,124,119,179,,
Down,277,168,254,259,158,,
Steady,198,203,190,181,205,,
TOTAL,588,511,568,559,542,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"208,569","146,517","231,186","220,748","345,967",,
Put Options,"188,485","133,723","181,490","217,501","281,533",,
TOTAL,"397,054","280,240","412,676","438,249","627,500",,
Value ($'000s),,
Call Options,"42,926","40,649","117,079","70,768","20,482",,
Put Options,"9,092","5,993","10,619","9,884","11,926",,
TOTAL,"52,018","46,642","127,698","80,652","32,408",,
MOVEMENTS:,,
Call Options,,
Up,244,253,190,247,421,,
Down,241,163,281,265,137,,
Steady,24,22,21,20,21,,
TOTAL,509,438,492,532,579,,
Put Options,,
Up,155,103,192,202,75,,
Down,299,256,258,253,384,,
Steady,16,13,22,21,10,,
TOTAL,470,372,472,476,469,,
,
