National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-09-17T23:15:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 12,Sep 13,Sep 14,Sep 15,Sep 16,,
Volume ('000s),,
Industrials,"1,130,055","1,054,446","1,128,192","1,150,701","1,209,602",,
Mining,"1,251,225","1,160,675","1,211,238","930,702","1,371,607",,
TOTAL,"2,381,280","2,215,121","2,339,430","2,081,403","2,581,209",,
Value ($'000s),,
Industrials,"3,182,874","3,362,895","4,029,556","4,445,106","3,309,617",,
Mining,"1,784,418","1,871,801","2,011,599","2,084,345","2,106,667",,
TOTAL,"4,967,292","5,234,696","6,041,155","6,529,451","5,416,284",,
MOVEMENTS:,,
Industrials,,
Up,84,301,146,336,364,,
Down,488,224,393,203,179,,
Steady,143,157,167,165,159,,
TOTAL,715,682,706,704,702,,
Mining,,
Up,132,260,149,295,338,,
Down,494,291,425,252,221,,
Steady,179,217,202,210,222,,
TOTAL,805,768,776,757,781,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"332,669","254,616","290,607","262,791","304,391",,
Put Options,"370,046","292,497","299,621","226,604","224,710",,
TOTAL,"702,715","547,113","590,228","489,395","529,101",,
Value ($'000s),,
Call Options,"13,849","13,965","13,270","12,530","18,826",,
Put Options,"41,087","43,513","31,018","29,194","26,131",,
TOTAL,"54,936","57,478","44,288","41,724","44,957",,
MOVEMENTS:,,
Call Options,,
Up,37,252,88,269,458,,
Down,626,338,518,319,182,,
Steady,6,35,18,33,24,,
TOTAL,669,625,624,621,664,,
Put Options,,
Up,676,302,529,211,79,,
Down,81,327,152,371,458,,
Steady,10,13,15,7,3,,
TOTAL,767,642,696,589,540,,
,
