National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-09-01T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 27,Aug 28,Aug 29,Aug 30,Aug 31,,
Volume ('000s),,
Industrials,"630,487","675,656","686,712","957,666","926,736",,
Mining,"939,453","1,003,623","1,286,307","947,846","986,566",,
TOTAL,"1,569,940","1,679,279","1,973,019","1,905,512","1,913,302",,
Value ($'000s),,
Industrials,"2,155,695","2,494,675","2,615,244","3,402,144","4,323,623",,
Mining,"1,146,503","1,109,272","1,281,472","1,504,049","1,930,116",,
TOTAL,"3,302,198","3,603,947","3,896,716","4,906,193","6,253,739",,
MOVEMENTS:,,
Industrials,,
Up,265,288,268,202,233,,
Down,228,221,237,326,311,,
Steady,157,160,170,148,129,,
TOTAL,650,669,675,676,673,,
Mining,,
Up,222,174,186,131,189,,
Down,240,307,299,362,277,,
Steady,222,196,202,228,211,,
TOTAL,684,677,687,721,677,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"258,159","330,126","482,371","853,309","292,014",,
Put Options,"213,982","257,623","335,522","549,306","280,706",,
TOTAL,"472,141","587,749","817,893","1,402,615","572,720",,
Value ($'000s),,
Call Options,"19,516","205,590","174,227","115,531","36,297",,
Put Options,"14,923","17,449","25,076","46,781","17,100",,
TOTAL,"34,439","223,039","199,303","162,312","53,397",,
MOVEMENTS:,,
Call Options,,
Up,229,204,277,248,284,,
Down,329,384,398,623,332,,
Steady,27,23,27,19,31,,
TOTAL,585,611,702,890,647,,
Put Options,,
Up,178,245,286,517,292,,
Down,320,330,353,275,276,,
Steady,25,20,25,31,33,,
TOTAL,523,595,664,823,601,,
,
