National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-04-26T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 16,Apr 17,Apr 22,Apr 23,Apr 24,,
Volume ('000s),,
Industrials,"633,539","649,576","527,020","679,518","721,707",,
Mining,"585,615","686,629","654,615","644,631","618,274",,
TOTAL,"1,219,154","1,336,205","1,181,635","1,324,149","1,339,981",,
Value ($'000s),,
Industrials,"2,497,687","2,762,441","2,330,712","3,210,639","3,982,795",,
Mining,"827,063","794,512","735,832","773,247","1,231,615",,
TOTAL,"3,324,750","3,556,953","3,066,544","3,983,886","5,214,410",,
MOVEMENTS:,,
Industrials,,
Up,372,372,324,383,334,,
Down,206,200,270,214,234,,
Steady,160,157,164,160,167,,
TOTAL,738,729,758,757,735,,
Mining,,
Up,162,184,155,175,208,,
Down,191,174,220,190,160,,
Steady,190,216,193,215,202,,
TOTAL,543,574,568,580,570,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"177,357","250,954","328,741","711,689","222,958",,
Put Options,"181,886","228,914","229,267","440,993","177,785",,
TOTAL,"359,243","479,868","558,008","1,152,682","400,743",,
Value ($'000s),,
Call Options,"8,699","226,201","33,626","457,203","15,873",,
Put Options,"9,842","8,214","14,576","33,482","8,425",,
TOTAL,"18,541","234,415","48,202","490,685","24,298",,
MOVEMENTS:,,
Call Options,,
Up,250,310,355,569,286,,
Down,203,199,207,258,215,,
Steady,26,14,19,19,41,,
TOTAL,479,523,581,846,542,,
Put Options,,
Up,112,74,115,101,80,,
Down,318,366,426,539,454,,
Steady,13,16,16,17,14,,
TOTAL,443,456,557,657,548,,
,
