National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-04-20T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,,
Volume ('000s),,
Industrials,"580,562","735,158","666,379","982,948","715,848",,
Mining,"865,108","1,094,990","740,498","989,059","802,116",,
TOTAL,"1,445,670","1,830,148","1,406,877","1,972,007","1,517,964",,
Value ($'000s),,
Industrials,"2,697,652","2,845,846","3,201,378","4,440,149","3,093,980",,
Mining,"1,263,652","1,284,137","993,227","1,625,779","1,349,659",,
TOTAL,"3,961,304","4,129,983","4,194,605","6,065,928","4,443,639",,
MOVEMENTS:,,
Industrials,,
Up,174,184,340,163,279,,
Down,339,358,192,389,231,,
Steady,175,148,133,137,168,,
TOTAL,688,690,665,689,678,,
Mining,,
Up,91,101,175,79,218,,
Down,427,426,246,404,201,,
Steady,185,174,210,182,212,,
TOTAL,703,701,631,665,631,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"387,538","274,677","396,582","411,703","276,855",,
Put Options,"317,947","302,509","328,178","395,214","264,625",,
TOTAL,"705,485","577,186","724,760","806,917","541,480",,
Value ($'000s),,
Call Options,"72,079","52,094","62,650","178,059","286,167",,
Put Options,"28,044","28,643","25,458","39,466","23,326",,
TOTAL,"100,123","80,737","88,108","217,525","309,493",,
MOVEMENTS:,,
Call Options,,
Up,178,224,385,255,238,,
Down,382,371,217,452,331,,
Steady,8,23,16,12,14,,
TOTAL,568,618,618,719,583,,
Put Options,,
Up,408,422,166,536,373,,
Down,201,209,408,217,314,,
Steady,20,28,14,18,20,,
TOTAL,629,659,588,771,707,,
,
