National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-11-02T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 28,Oct 29,Oct 30,Oct 31,Nov  1,,
Volume ('000s),,
Industrials,"1,180,466","982,378","1,080,944","1,103,413","1,031,572",,
Mining,"795,848","637,759","695,339","760,003","781,328",,
TOTAL,"1,976,314","1,620,137","1,776,283","1,863,416","1,812,900",,
Value ($'000s),,
Industrials,"5,060,092","3,435,131","3,594,926","3,903,128","2,532,837",,
Mining,"1,198,980","708,441","682,649","734,238","647,288",,
TOTAL,"6,259,072","4,143,572","4,277,575","4,637,366","3,180,125",,
MOVEMENTS:,,
Industrials,,
Up,359,255,335,279,252,,
Down,245,367,237,309,353,,
Steady,140,139,171,164,149,,
TOTAL,744,761,743,752,754,,
Mining,,
Up,223,185,204,177,170,,
Down,200,234,225,228,232,,
Steady,215,197,205,234,230,,
TOTAL,638,616,634,639,632,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"372,211","258,587","302,603","220,413","174,821",,
Put Options,"288,880","199,395","186,625","204,926","162,221",,
TOTAL,"661,091","457,982","489,228","425,339","337,042",,
Value ($'000s),,
Call Options,"28,153","70,497","35,393","18,657","44,488",,
Put Options,"10,979","9,580","9,971","9,866","9,623",,
TOTAL,"39,132","80,077","45,364","28,523","54,111",,
MOVEMENTS:,,
Call Options,,
Up,536,220,288,290,163,,
Down,133,269,219,297,284,,
Steady,20,20,20,19,15,,
TOTAL,689,509,527,606,462,,
Put Options,,
Up,27,219,158,206,232,,
Down,586,281,291,327,224,,
Steady,12,29,29,24,24,,
TOTAL,625,529,478,557,480,,
,
