National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-08-08T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug  3,Aug  4,Aug  5,Aug  6,Aug  7,,
Volume ('000s),,
Industrials,"638,975","807,836","861,056","725,266","770,264",,
Mining,"876,050","921,270","859,002","704,447","660,738",,
TOTAL,"1,515,025","1,729,106","1,720,058","1,429,713","1,431,002",,
Value ($'000s),,
Industrials,"2,269,653","4,098,263","3,407,231","3,283,007","4,589,251",,
Mining,"501,187","848,598","830,744","685,887","678,890",,
TOTAL,"2,770,840","4,946,861","4,237,975","3,968,894","5,268,141",,
MOVEMENTS:,,
Industrials,,
Up,313,366,276,277,170,,
Down,368,322,416,401,530,,
Steady,170,176,171,178,165,,
TOTAL,851,864,863,856,865,,
Mining,,
Up,133,128,146,164,135,,
Down,210,203,191,183,179,,
Steady,196,185,172,185,200,,
TOTAL,539,516,509,532,514,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"107,603","152,508","130,770","249,878","199,770",,
Put Options,"106,271","149,312","125,207","168,099","167,753",,
TOTAL,"213,874","301,820","255,977","417,977","367,523",,
Value ($'000s),,
Call Options,"6,239","17,778","7,362","54,833","10,199",,
Put Options,"6,562","7,778","9,975","13,431","13,899",,
TOTAL,"12,801","25,556","17,337","68,264","24,098",,
MOVEMENTS:,,
Call Options,,
Up,81,311,131,99,52,,
Down,254,151,294,313,403,,
Steady,26,14,18,14,4,,
TOTAL,361,476,443,426,459,,
Put Options,,
Up,142,126,206,285,433,,
Down,159,289,184,150,116,,
Steady,18,7,21,10,14,,
TOTAL,319,422,411,445,563,,
,
