National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-07-27T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 22,Jul 23,Jul 24,Jul 25,Jul 26,,
Volume ('000s),,
Industrials,"515,194","610,407","671,026","836,150","890,752",,
Mining,"802,403","803,821","726,630","662,600","911,469",,
TOTAL,"1,317,597","1,414,228","1,397,656","1,498,750","1,802,221",,
Value ($'000s),,
Industrials,"2,389,743","2,711,499","3,080,363","3,492,980","4,681,570",,
Mining,"771,852","909,633","1,082,752","901,657","1,224,100",,
TOTAL,"3,161,595","3,621,132","4,163,115","4,394,637","5,905,670",,
MOVEMENTS:,,
Industrials,,
Up,330,293,307,257,291,,
Down,213,219,255,279,251,,
Steady,137,149,128,121,133,,
TOTAL,680,661,690,657,675,,
Mining,,
Up,245,239,235,184,216,,
Down,160,159,173,211,184,,
Steady,173,209,185,177,192,,
TOTAL,578,607,593,572,592,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"254,999","327,239","411,782","734,066","333,414",,
Put Options,"171,989","205,951","308,884","361,571","228,259",,
TOTAL,"426,988","533,190","720,666","1,095,637","561,673",,
Value ($'000s),,
Call Options,"97,762","198,478","84,204","416,215","12,299",,
Put Options,"11,307","12,477","22,007","37,697","9,247",,
TOTAL,"109,069","210,955","106,211","453,912","21,546",,
MOVEMENTS:,,
Call Options,,
Up,381,360,524,382,347,,
Down,230,236,233,515,268,,
Steady,23,26,29,22,24,,
TOTAL,634,622,786,919,639,,
Put Options,,
Up,99,72,79,246,123,,
Down,455,465,594,455,405,,
Steady,20,15,12,29,20,,
TOTAL,574,552,685,730,548,,
,
