National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-16T23:15:10+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,,
Volume ('000s),,
Industrials,"1,696,035","1,363,648","2,198,556","1,361,787","1,327,640",,
Mining,"1,849,565","1,740,245","1,537,395","1,356,303","1,342,576",,
TOTAL,"3,545,600","3,103,893","3,735,951","2,718,090","2,670,216",,
Value ($'000s),,
Industrials,"3,333,900","3,657,477","3,525,244","3,247,133","2,945,053",,
Mining,"4,517,058","3,531,253","2,935,797","2,282,925","1,921,884",,
TOTAL,"7,850,958","7,188,730","6,461,041","5,530,058","4,866,937",,
MOVEMENTS:,,
Industrials,,
Up,273,188,293,262,230,,
Down,343,395,277,306,322,,
Steady,200,216,216,215,210,,
TOTAL,816,799,786,783,762,,
Mining,,
Up,370,169,275,288,312,,
Down,308,543,367,343,312,,
Steady,196,187,230,234,250,,
TOTAL,874,899,872,865,874,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"77,472","51,399","51,446","38,340","35,222",,
Put Options,"54,601","68,807","55,625","51,664","46,984",,
TOTAL,"132,073","120,206","107,071","90,004","82,206",,
Value ($'000s),,
Call Options,"174,391","292,237","41,094","34,264","60,959",,
Put Options,"14,432","16,897","13,570","18,261","19,825",,
TOTAL,"188,823","309,134","54,664","52,525","80,784",,
MOVEMENTS:,,
Call Options,,
Up,465,160,160,113,108,,
Down,140,416,357,377,376,,
Steady,24,13,22,17,16,,
TOTAL,629,589,539,507,500,,
Put Options,,
Up,101,490,348,380,355,,
Down,496,184,206,154,168,,
Steady,14,23,42,27,38,,
TOTAL,611,697,596,561,561,,
,
