National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-09-24T23:15:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 19,Sep 20,Sep 21,Sep 22,Sep 23,,
Volume ('000s),,
Industrials,"818,221","782,034","934,697","1,239,569","1,374,843",,
Mining,"950,938","844,720","1,081,069","1,467,730","1,595,583",,
TOTAL,"1,769,159","1,626,754","2,015,766","2,707,299","2,970,426",,
Value ($'000s),,
Industrials,"2,579,914","2,754,537","3,214,509","4,708,566","4,704,307",,
Mining,"1,214,880","1,484,868","2,013,583","2,390,505","3,036,807",,
TOTAL,"3,794,794","4,239,405","5,228,092","7,099,071","7,741,114",,
MOVEMENTS:,,
Industrials,,
Up,179,168,269,100,147,,
Down,342,349,234,462,462,,
Steady,140,151,167,165,136,,
TOTAL,661,668,670,727,745,,
Mining,,
Up,179,163,236,90,82,,
Down,374,388,327,558,559,,
Steady,215,221,219,179,204,,
TOTAL,768,772,782,827,845,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"206,128","227,106","235,166","364,159","392,537",,
Put Options,"234,925","262,109","291,392","435,864","490,019",,
TOTAL,"441,053","489,215","526,558","800,023","882,556",,
Value ($'000s),,
Call Options,"15,468","10,118","10,855","15,805","33,721",,
Put Options,"30,729","29,402","32,663","62,094","64,672",,
TOTAL,"46,197","39,520","43,518","77,899","98,393",,
MOVEMENTS:,,
Call Options,,
Up,89,93,233,63,124,,
Down,414,499,385,642,608,,
Steady,20,24,41,25,36,,
TOTAL,523,616,659,730,768,,
Put Options,,
Up,306,398,299,643,712,,
Down,158,155,312,104,145,,
Steady,5,11,17,8,17,,
TOTAL,469,564,628,755,874,,
,
