National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-11-16T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,,
Volume ('000s),,
Industrials,"1,056,237","997,721","1,164,746","1,094,524","1,046,632",,
Mining,"782,008","751,428","802,504","698,058","662,663",,
TOTAL,"1,838,245","1,749,149","1,967,250","1,792,582","1,709,295",,
Value ($'000s),,
Industrials,"2,892,521","3,148,083","3,366,057","3,145,347","2,930,741",,
Mining,"674,897","834,598","958,306","835,666","709,284",,
TOTAL,"3,567,418","3,982,681","4,324,363","3,981,013","3,640,025",,
MOVEMENTS:,,
Industrials,,
Up,278,288,195,368,383,,
Down,294,295,395,201,216,,
Steady,171,165,157,169,158,,
TOTAL,743,748,747,738,757,,
Mining,,
Up,171,178,127,216,235,,
Down,239,206,276,180,169,,
Steady,203,226,225,236,225,,
TOTAL,613,610,628,632,629,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"165,575","171,463","248,373","246,354","237,574",,
Put Options,"215,048","175,107","300,403","272,435","153,379",,
TOTAL,"380,623","346,570","548,776","518,789","390,953",,
Value ($'000s),,
Call Options,"11,016","12,839","20,703","21,988","29,074",,
Put Options,"11,705","12,844","19,102","12,515","6,769",,
TOTAL,"22,721","25,683","39,805","34,503","35,843",,
MOVEMENTS:,,
Call Options,,
Up,209,231,103,279,323,,
Down,280,283,503,275,167,,
Steady,20,20,14,29,24,,
TOTAL,509,534,620,583,514,,
Put Options,,
Up,251,204,547,237,115,,
Down,250,317,150,347,362,,
Steady,41,31,23,28,15,,
TOTAL,542,552,720,612,492,,
,
