National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-01-28T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 20,Jan 23,Jan 24,Jan 25,Jan 27,,
Volume ('000s),,
Industrials,"892,719","554,994","761,237","815,075","779,180",,
Mining,"765,540","796,595","949,072","916,850","904,052",,
TOTAL,"1,658,259","1,351,589","1,710,309","1,731,925","1,683,232",,
Value ($'000s),,
Industrials,"2,543,686","1,877,225","2,088,147","3,722,958","2,799,325",,
Mining,"1,430,624","1,158,640","1,289,869","2,208,794","1,775,252",,
TOTAL,"3,974,310","3,035,865","3,378,016","5,931,752","4,574,577",,
MOVEMENTS:,,
Industrials,,
Up,320,222,245,288,288,,
Down,200,262,254,209,237,,
Steady,169,157,161,196,183,,
TOTAL,689,641,660,693,708,,
Mining,,
Up,277,262,249,220,305,,
Down,240,265,243,269,221,,
Steady,221,187,226,220,218,,
TOTAL,738,714,718,709,744,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"340,670","381,089","722,722","383,411","263,897",,
Put Options,"212,913","220,791","433,054","187,464","188,459",,
TOTAL,"553,583","601,880","1,155,776","570,875","452,356",,
Value ($'000s),,
Call Options,"16,701","223,544","46,347","15,630","15,025",,
Put Options,"10,222","17,760","38,596","9,496","9,486",,
TOTAL,"26,923","241,304","84,943","25,126","24,511",,
MOVEMENTS:,,
Call Options,,
Up,341,209,282,358,400,,
Down,298,348,464,304,181,,
Steady,47,34,32,26,33,,
TOTAL,686,591,778,688,614,,
Put Options,,
Up,111,156,137,53,56,,
Down,369,313,478,468,500,,
Steady,24,28,26,23,6,,
TOTAL,504,497,641,544,562,,
,
