National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-09-10T23:15:15+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep  5,Sep  6,Sep  7,Sep  8,Sep  9,,
Volume ('000s),,
Industrials,"840,496","1,014,013","1,141,004","1,340,499","951,842",,
Mining,"1,106,288","1,296,238","1,295,820","1,214,562","1,237,975",,
TOTAL,"1,946,784","2,310,251","2,436,824","2,555,061","2,189,817",,
Value ($'000s),,
Industrials,"3,057,213","3,540,476","3,398,826","3,447,373","2,529,330",,
Mining,"1,674,386","2,166,985","2,098,558","1,966,621","1,713,044",,
TOTAL,"4,731,599","5,707,461","5,497,384","5,413,994","4,242,374",,
MOVEMENTS:,,
Industrials,,
Up,117,109,367,305,297,,
Down,422,426,154,217,233,,
Steady,151,136,159,168,154,,
TOTAL,690,671,680,690,684,,
Mining,,
Up,200,181,359,356,362,,
Down,377,404,220,216,219,,
Steady,213,190,204,207,221,,
TOTAL,790,775,783,779,802,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"245,805","262,816","245,972","201,597","183,627",,
Put Options,"212,296","344,838","255,184","183,072","166,099",,
TOTAL,"458,101","607,654","501,156","384,669","349,726",,
Value ($'000s),,
Call Options,"11,119","11,510","11,123","8,448","7,687",,
Put Options,"31,398","52,464","33,374","24,123","14,452",,
TOTAL,"42,517","63,974","44,497","32,571","22,139",,
MOVEMENTS:,,
Call Options,,
Up,40,55,350,210,283,,
Down,516,528,285,308,192,,
Steady,9,15,27,32,33,,
TOTAL,565,598,662,550,508,,
Put Options,,
Up,538,703,165,111,76,,
Down,109,68,442,367,398,,
Steady,4,8,8,8,8,,
TOTAL,651,779,615,486,482,,
,
