National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-12-05T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 30,Dec  1,Dec  2,Dec  3,Dec  4,,
Volume ('000s),,
Industrials,"1,444,328","1,037,126","1,081,501","836,852","845,150",,
Mining,"1,343,384","959,276","807,604","1,159,138","942,308",,
TOTAL,"2,787,712","1,996,402","1,889,105","1,995,990","1,787,458",,
Value ($'000s),,
Industrials,"6,176,346","4,734,788","3,552,023","3,521,727","4,215,124",,
Mining,"2,369,712","834,161","534,594","746,746","781,162",,
TOTAL,"8,546,058","5,568,949","4,086,617","4,268,473","4,996,286",,
MOVEMENTS:,,
Industrials,,
Up,331,457,291,317,234,,
Down,402,320,429,397,490,,
Steady,159,163,187,173,162,,
TOTAL,892,940,907,887,886,,
Mining,,
Up,135,171,143,124,158,,
Down,222,174,172,191,154,,
Steady,165,203,186,191,198,,
TOTAL,522,548,501,506,510,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"203,931","197,648","176,074","153,209","191,263",,
Put Options,"149,019","178,724","133,876","239,445","208,909",,
TOTAL,"352,950","376,372","309,950","392,654","400,172",,
Value ($'000s),,
Call Options,"7,077","6,961","11,818","5,988","7,444",,
Put Options,"14,378","18,845","11,779","16,640","18,889",,
TOTAL,"21,455","25,806","23,597","22,628","26,333",,
MOVEMENTS:,,
Call Options,,
Up,66,369,218,91,52,,
Down,289,198,178,255,325,,
Steady,12,19,22,13,6,,
TOTAL,367,586,418,359,383,,
Put Options,,
Up,273,43,62,187,372,,
Down,128,267,253,175,114,,
Steady,21,7,13,10,10,,
TOTAL,422,317,328,372,496,,
,
