National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-21T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,,
Volume ('000s),,
Industrials,"711,229","833,812","707,754","952,477","924,256",,
Mining,"795,790","941,705","1,160,108","1,147,041","1,608,897",,
TOTAL,"1,507,019","1,775,517","1,867,862","2,099,518","2,533,153",,
Value ($'000s),,
Industrials,"3,028,127","3,067,385","2,988,065","4,659,782","3,787,876",,
Mining,"904,711","855,242","3,046,196","1,749,669","1,213,860",,
TOTAL,"3,932,838","3,922,627","6,034,261","6,409,451","5,001,736",,
MOVEMENTS:,,
Industrials,,
Up,274,307,317,394,258,,
Down,329,275,287,216,352,,
Steady,186,177,182,178,183,,
TOTAL,789,759,786,788,793,,
Mining,,
Up,213,159,201,249,265,,
Down,213,266,226,216,181,,
Steady,251,251,256,228,257,,
TOTAL,677,676,683,693,703,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"183,565","165,214","282,193","268,140","239,586",,
Put Options,"188,671","190,184","219,727","197,157","280,096",,
TOTAL,"372,236","355,398","501,920","465,297","519,682",,
Value ($'000s),,
Call Options,"8,289","7,984","281,251","233,777","161,134",,
Put Options,"11,241","9,603","17,318","13,495","10,523",,
TOTAL,"19,530","17,587","298,569","247,272","171,657",,
MOVEMENTS:,,
Call Options,,
Up,141,61,74,376,146,,
Down,250,310,352,171,309,,
Steady,20,16,21,15,19,,
TOTAL,411,387,447,562,474,,
Put Options,,
Up,169,220,275,71,200,,
Down,230,166,214,403,254,,
Steady,28,24,20,6,22,,
TOTAL,427,410,509,480,476,,
,
