National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-09-07T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep  2,Sep  3,Sep  4,Sep  5,Sep  6,,
Volume ('000s),,
Industrials,"706,108","749,546","768,356","767,898","747,648",,
Mining,"846,335","796,167","730,384","822,971","689,557",,
TOTAL,"1,552,443","1,545,713","1,498,740","1,590,869","1,437,205",,
Value ($'000s),,
Industrials,"2,858,599","2,956,417","3,396,053","3,287,561","3,235,967",,
Mining,"985,687","857,506","1,084,308","915,660","832,842",,
TOTAL,"3,844,286","3,813,923","4,480,361","4,203,221","4,068,809",,
MOVEMENTS:,,
Industrials,,
Up,375,311,241,279,327,,
Down,211,238,314,273,228,,
Steady,138,156,145,146,157,,
TOTAL,724,705,700,698,712,,
Mining,,
Up,206,203,229,187,216,,
Down,212,214,181,246,205,,
Steady,196,204,202,180,181,,
TOTAL,614,621,612,613,602,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"285,610","254,768","247,121","179,718","188,141",,
Put Options,"135,218","137,033","162,886","171,796","126,014",,
TOTAL,"420,828","391,801","410,007","351,514","314,155",,
Value ($'000s),,
Call Options,"15,024","109,093","116,492","20,195","13,900",,
Put Options,"7,636","5,655","6,556","11,708","6,372",,
TOTAL,"22,660","114,748","123,048","31,903","20,272",,
MOVEMENTS:,,
Call Options,,
Up,536,470,208,164,150,,
Down,122,152,305,315,306,,
Steady,14,22,8,15,24,,
TOTAL,672,644,521,494,480,,
Put Options,,
Up,44,38,184,231,192,,
Down,397,405,236,211,205,,
Steady,4,22,16,22,20,,
TOTAL,445,465,436,464,417,,
,
