National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-11-13T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov  8,Nov  9,Nov 10,Nov 11,Nov 12,,
Volume ('000s),,
Industrials,"1,113,201","1,226,155","1,170,591","1,220,143","1,544,771",,
Mining,"1,893,599","1,842,371","1,662,921","1,664,485","1,777,796",,
TOTAL,"3,006,800","3,068,526","2,833,512","2,884,628","3,322,567",,
Value ($'000s),,
Industrials,"3,696,266","4,507,610","3,429,149","3,652,976","4,114,719",,
Mining,"1,925,655","6,499,277","2,526,148","2,127,485","2,331,544",,
TOTAL,"5,621,921","11,006,887","5,955,297","5,780,461","6,446,263",,
MOVEMENTS:,,
Industrials,,
Up,285,257,224,336,220,,
Down,303,315,345,247,358,,
Steady,218,203,212,205,181,,
TOTAL,806,775,781,788,759,,
Mining,,
Up,355,341,269,414,317,,
Down,311,304,377,252,342,,
Steady,196,187,194,180,208,,
TOTAL,862,832,840,846,867,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"40,194","34,925","43,287","38,688","36,615",,
Put Options,"41,628","42,584","55,640","32,487","39,812",,
TOTAL,"81,822","77,509","98,927","71,175","76,427",,
Value ($'000s),,
Call Options,"66,983","71,077","32,957","81,300","51,931",,
Put Options,"38,761","23,956","23,961","13,870","18,036",,
TOTAL,"105,744","95,033","56,918","95,170","69,967",,
MOVEMENTS:,,
Call Options,,
Up,270,112,120,265,161,,
Down,238,421,398,216,363,,
Steady,16,11,12,20,25,,
TOTAL,524,544,530,501,549,,
Put Options,,
Up,154,412,413,163,300,,
Down,344,157,152,287,219,,
Steady,38,17,22,16,40,,
TOTAL,536,586,587,466,559,,
,
