National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-12-25T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 20,Dec 21,Dec 22,Dec 23,Dec 24,,
Volume ('000s),,
Industrials,"977,733","917,404","838,387","865,296","608,725",,
Mining,"1,270,592","1,479,527","1,186,735","1,053,425","850,031",,
TOTAL,"2,248,325","2,396,931","2,025,122","1,918,721","1,458,756",,
Value ($'000s),,
Industrials,"2,742,096","2,541,382","2,253,324","2,148,416","2,287,620",,
Mining,"1,665,763","1,659,443","1,308,029","1,431,268","2,605,770",,
TOTAL,"4,407,859","4,200,825","3,561,353","3,579,684","4,893,390",,
MOVEMENTS:,,
Industrials,,
Up,263,327,317,303,214,,
Down,338,269,265,242,287,,
Steady,189,191,194,199,169,,
TOTAL,790,787,776,744,670,,
Mining,,
Up,266,304,336,340,281,,
Down,341,292,294,276,265,,
Steady,222,246,217,234,218,,
TOTAL,829,842,847,850,764,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"55,490","44,008","44,608","90,331","21,294",,
Put Options,"35,001","26,250","34,816","54,673","29,494",,
TOTAL,"90,491","70,258","79,424","145,004","50,788",,
Value ($'000s),,
Call Options,"182,256","292,543","61,597","80,769","9,132",,
Put Options,"10,443","13,932","15,546","17,807","9,864",,
TOTAL,"192,699","306,475","77,143","98,576","18,996",,
MOVEMENTS:,,
Call Options,,
Up,137,240,214,436,58,,
Down,370,250,300,337,357,,
Steady,14,25,29,27,18,,
TOTAL,521,515,543,800,433,,
Put Options,,
Up,204,90,192,81,193,,
Down,242,389,302,564,176,,
Steady,25,22,35,18,30,,
TOTAL,471,501,529,663,399,,
,
