National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-09-25T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep 20,Sep 21,Sep 22,Sep 23,Sep 24,,
Volume ('000s),,
Industrials,"752,877","971,047","882,112","815,991","876,830",,
Mining,"1,126,952","1,898,344","2,183,631","1,324,043","1,291,634",,
TOTAL,"1,879,829","2,869,392","3,065,743","2,140,035","2,168,465",,
Value ($'000s),,
Industrials,"2,368,522","3,016,376","3,389,828","2,888,517","4,215,285",,
Mining,"1,237,168","1,879,012","1,841,721","1,655,191","2,800,705",,
TOTAL,"3,605,690","4,895,388","5,231,549","4,543,709","7,015,991",,
MOVEMENTS:,,
Industrials,,
Up,280,293,292,212,200,,
Down,303,277,263,329,330,,
Steady,178,199,178,194,178,,
TOTAL,761,769,733,735,708,,
Mining,,
Up,314,281,335,301,240,,
Down,286,315,242,269,318,,
Steady,195,193,200,199,214,,
TOTAL,795,789,777,769,772,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"48,167","54,895","58,080","140,963","38,094",,
Put Options,"28,646","36,097","44,959","58,726","38,922",,
TOTAL,"76,813","90,992","103,039","199,689","77,016",,
Value ($'000s),,
Call Options,"84,610","46,167","46,548","615,425","15,912",,
Put Options,"12,361","11,250","15,660","24,138","12,106",,
TOTAL,"96,972","57,417","62,208","639,564","28,019",,
MOVEMENTS:,,
Call Options,,
Up,106,281,237,318,115,,
Down,343,258,334,431,410,,
Steady,17,30,21,39,24,,
TOTAL,466,569,592,788,549,,
Put Options,,
Up,217,118,149,169,253,,
Down,204,331,341,456,213,,
Steady,29,20,18,22,41,,
TOTAL,450,469,508,647,507,,
,
