National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-08-24T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 19,Aug 20,Aug 21,Aug 22,Aug 23,,
Volume ('000s),,
Industrials,"737,649","721,935","684,480","803,590","830,494",,
Mining,"839,269","1,089,859","1,119,416","908,950","1,002,741",,
TOTAL,"1,576,918","1,811,794","1,803,896","1,712,540","1,833,235",,
Value ($'000s),,
Industrials,"3,685,967","3,718,574","2,993,553","3,990,372","3,637,468",,
Mining,"737,305","736,712","977,328","1,235,431","1,063,562",,
TOTAL,"4,423,272","4,455,286","3,970,881","5,225,803","4,701,030",,
MOVEMENTS:,,
Industrials,,
Up,302,260,337,224,373,,
Down,251,312,217,323,189,,
Steady,146,144,139,137,140,,
TOTAL,699,716,693,684,702,,
Mining,,
Up,229,155,217,155,253,,
Down,185,253,182,244,143,,
Steady,197,187,218,173,197,,
TOTAL,611,595,617,572,593,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"214,729","284,283","258,247","283,738","351,946",,
Put Options,"168,790","228,989","184,783","222,503","321,751",,
TOTAL,"383,519","513,272","443,030","506,241","673,697",,
Value ($'000s),,
Call Options,"23,406","43,477","16,511","143,593","68,936",,
Put Options,"8,792","11,185","10,363","12,814","9,036",,
TOTAL,"32,198","54,662","26,874","156,407","77,972",,
MOVEMENTS:,,
Call Options,,
Up,257,129,251,151,447,,
Down,277,407,330,390,170,,
Steady,27,15,17,21,24,,
TOTAL,561,551,598,562,641,,
Put Options,,
Up,128,284,179,315,43,,
Down,337,232,304,222,472,,
Steady,18,27,28,22,7,,
TOTAL,483,543,511,559,522,,
,
