National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-22T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,,
Volume ('000s),,
Industrials,"817,579","767,283","1,058,467","1,209,822","1,673,395",,
Mining,"824,925","720,540","854,428","776,183","1,241,849",,
TOTAL,"1,642,504","1,487,823","1,912,895","1,986,005","2,915,244",,
Value ($'000s),,
Industrials,"2,912,977","3,048,271","4,348,745","5,632,239","5,254,906",,
Mining,"894,907","936,814","1,243,798","1,380,951","1,260,122",,
TOTAL,"3,807,884","3,985,085","5,592,543","7,013,190","6,515,028",,
MOVEMENTS:,,
Industrials,,
Up,252,366,337,209,334,,
Down,335,224,266,360,243,,
Steady,177,174,166,172,163,,
TOTAL,764,764,769,741,740,,
Mining,,
Up,179,183,187,127,204,,
Down,218,240,220,264,200,,
Steady,200,197,219,191,195,,
TOTAL,597,620,626,582,599,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"129,631","208,317","203,268","852,983","367,759",,
Put Options,"247,518","208,921","186,262","254,370","199,132",,
TOTAL,"377,149","417,238","389,530","1,107,353","566,891",,
Value ($'000s),,
Call Options,"11,576","109,353","17,449","509,499","206,037",,
Put Options,"18,207","11,513","13,253","11,737","12,957",,
TOTAL,"29,783","120,866","30,702","521,236","218,994",,
MOVEMENTS:,,
Call Options,,
Up,75,177,120,56,185,,
Down,313,279,326,483,318,,
Steady,10,25,17,15,21,,
TOTAL,398,481,463,554,524,,
Put Options,,
Up,325,141,106,363,118,,
Down,168,334,287,197,299,,
Steady,17,13,17,25,21,,
TOTAL,510,488,410,585,438,,
,
