National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-26T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,,
Volume ('000s),,
Industrials,"620,815","703,861","749,908","700,427","918,227",,
Mining,"1,069,356","1,096,747","862,115","959,044","954,228",,
TOTAL,"1,690,171","1,800,608","1,612,023","1,659,471","1,872,455",,
Value ($'000s),,
Industrials,"2,320,657","2,611,599","2,908,347","2,924,572","4,612,287",,
Mining,"716,879","812,388","1,011,257","1,034,459","1,665,506",,
TOTAL,"3,037,536","3,423,987","3,919,604","3,959,031","6,277,793",,
MOVEMENTS:,,
Industrials,,
Up,332,240,295,284,372,,
Down,232,283,237,240,184,,
Steady,135,161,143,147,145,,
TOTAL,699,684,675,671,701,,
Mining,,
Up,254,177,224,217,203,,
Down,241,284,242,284,294,,
Steady,210,230,215,203,220,,
TOTAL,705,691,681,704,717,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"307,750","367,985","531,338","819,454","342,391",,
Put Options,"202,396","241,345","299,443","440,544","246,608",,
TOTAL,"510,146","609,330","830,781","1,259,998","588,999",,
Value ($'000s),,
Call Options,"32,442","110,001","98,894","193,507","96,549",,
Put Options,"11,772","12,893","25,877","25,662","10,853",,
TOTAL,"44,214","122,894","124,771","219,169","107,402",,
MOVEMENTS:,,
Call Options,,
Up,348,427,460,652,353,,
Down,300,290,294,429,259,,
Steady,17,33,35,30,23,,
TOTAL,665,750,789,"1,111",635,,
Put Options,,
Up,114,102,113,167,84,,
Down,403,489,541,584,494,,
Steady,27,29,23,29,38,,
TOTAL,544,620,677,780,616,,
,
