National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-08-11T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug  6,Aug  7,Aug  8,Aug  9,Aug 10,,
Volume ('000s),,
Industrials,"431,268","587,395","782,661","677,965","750,097",,
Mining,"889,742","667,478","858,197","790,064","1,202,667",,
TOTAL,"1,321,010","1,254,873","1,640,858","1,468,029","1,952,764",,
Value ($'000s),,
Industrials,"1,458,524","2,209,885","3,486,209","3,105,932","3,218,588",,
Mining,"826,352","777,220","1,047,515","1,112,798","876,020",,
TOTAL,"2,284,876","2,987,105","4,533,724","4,218,730","4,094,608",,
MOVEMENTS:,,
Industrials,,
Up,349,286,309,240,265,,
Down,149,195,192,225,230,,
Steady,154,153,151,173,150,,
TOTAL,652,634,652,638,645,,
Mining,,
Up,242,201,249,224,229,,
Down,191,211,175,185,231,,
Steady,207,223,213,231,189,,
TOTAL,640,635,637,640,649,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"218,996","254,917","430,745","382,937","365,747",,
Put Options,"197,946","205,306","277,420","373,307","289,726",,
TOTAL,"416,942","460,223","708,165","756,244","655,473",,
Value ($'000s),,
Call Options,"10,299","13,546","24,055","26,502","12,586",,
Put Options,"7,115","7,485","11,161","17,902","10,198",,
TOTAL,"17,414","21,031","35,216","44,404","22,784",,
MOVEMENTS:,,
Call Options,,
Up,360,364,520,417,211,,
Down,141,137,158,189,356,,
Steady,18,35,17,29,22,,
TOTAL,519,536,695,635,589,,
Put Options,,
Up,43,58,51,145,289,,
Down,409,430,557,430,269,,
Steady,10,15,19,26,27,,
TOTAL,462,503,627,601,585,,
,
