National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-12-01T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov 26,Nov 27,Nov 28,Nov 29,Nov 30,,
Volume ('000s),,
Industrials,"549,852","769,697","677,984","828,293","1,367,670",,
Mining,"770,457","745,249","876,522","774,355","1,410,027",,
TOTAL,"1,320,309","1,514,946","1,554,506","1,602,648","2,777,697",,
Value ($'000s),,
Industrials,"1,908,253","2,907,816","2,306,298","2,760,200","5,942,359",,
Mining,"680,067","948,422","850,303","1,009,035","1,897,778",,
TOTAL,"2,588,320","3,856,238","3,156,601","3,769,235","7,840,137",,
MOVEMENTS:,,
Industrials,,
Up,280,291,231,304,341,,
Down,227,208,295,215,191,,
Steady,170,169,160,169,150,,
TOTAL,677,668,686,688,682,,
Mining,,
Up,234,218,167,211,256,,
Down,273,260,307,260,207,,
Steady,205,205,222,232,232,,
TOTAL,712,683,696,703,695,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"261,177","351,119","375,524","877,310","459,436",,
Put Options,"208,516","313,341","398,780","565,139","278,689",,
TOTAL,"469,693","664,460","774,304","1,442,449","738,125",,
Value ($'000s),,
Call Options,"31,551","25,725","37,495","112,130","47,809",,
Put Options,"11,080","15,756","23,333","32,736","11,683",,
TOTAL,"42,631","41,481","60,828","144,866","59,492",,
MOVEMENTS:,,
Call Options,,
Up,265,415,192,544,529,,
Down,227,170,371,292,194,,
Steady,39,26,28,52,40,,
TOTAL,531,611,591,888,763,,
Put Options,,
Up,106,52,232,135,25,,
Down,381,470,296,636,545,,
Steady,21,4,19,16,8,,
TOTAL,508,526,547,787,578,,
,
