National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-12-20T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 15,Dec 16,Dec 17,Dec 18,Dec 19,,
Volume ('000s),,
Industrials,"622,284","682,844","763,204","985,939","1,189,471",,
Mining,"576,432","624,784","614,275","796,965","1,205,969",,
TOTAL,"1,198,716","1,307,628","1,377,479","1,782,904","2,395,440",,
Value ($'000s),,
Industrials,"2,660,938","3,396,015","3,369,336","4,847,526","7,444,425",,
Mining,"874,592","911,676","986,440","1,289,086","2,456,910",,
TOTAL,"3,535,530","4,307,691","4,355,776","6,136,612","9,901,335",,
MOVEMENTS:,,
Industrials,,
Up,178,229,344,412,478,,
Down,453,383,245,229,180,,
Steady,158,169,197,155,144,,
TOTAL,789,781,786,796,802,,
Mining,,
Up,114,115,153,198,196,,
Down,216,212,175,127,140,,
Steady,170,198,201,178,173,,
TOTAL,500,525,529,503,509,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"203,005","781,717","512,543","900,932","386,150",,
Put Options,"325,781","366,810","441,352","741,210","249,350",,
TOTAL,"528,786","1,148,527","953,895","1,642,142","635,500",,
Value ($'000s),,
Call Options,"56,710","400,975","274,014","228,270","18,676",,
Put Options,"41,992","69,499","78,377","127,712","17,276",,
TOTAL,"98,702","470,474","352,391","355,982","35,952",,
MOVEMENTS:,,
Call Options,,
Up,117,88,210,458,559,,
Down,346,430,345,320,170,,
Steady,16,15,21,20,18,,
TOTAL,479,533,576,798,747,,
Put Options,,
Up,508,494,325,269,65,,
Down,114,159,352,630,472,,
Steady,13,21,19,16,6,,
TOTAL,635,674,696,915,543,,
,
