National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-12-17T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec 12,Dec 13,Dec 14,Dec 15,Dec 16,,
Volume ('000s),,
Industrials,"986,705","897,595","888,349","1,120,659","1,025,641",,
Mining,"789,873","814,313","1,050,487","1,275,239","1,030,000",,
TOTAL,"1,776,578","1,711,908","1,938,836","2,395,898","2,055,641",,
Value ($'000s),,
Industrials,"2,427,332","2,762,039","2,612,819","4,182,985","3,174,725",,
Mining,"1,321,714","1,467,641","1,399,322","2,176,208","1,518,976",,
TOTAL,"3,749,046","4,229,680","4,012,141","6,359,193","4,693,701",,
MOVEMENTS:,,
Industrials,,
Up,314,152,257,159,271,,
Down,176,344,241,334,228,,
Steady,188,173,183,168,166,,
TOTAL,678,669,681,661,665,,
Mining,,
Up,286,157,183,131,246,,
Down,225,337,313,408,251,,
Steady,220,187,217,206,236,,
TOTAL,731,681,713,745,733,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"204,920","266,676","250,190","230,058","150,059",,
Put Options,"150,225","199,970","232,205","265,907","189,051",,
TOTAL,"355,145","466,646","482,395","495,965","339,110",,
Value ($'000s),,
Call Options,"14,099","13,742","12,570","9,972","5,991",,
Put Options,"9,487","16,385","19,587","25,416","18,037",,
TOTAL,"23,586","30,127","32,157","35,388","24,028",,
MOVEMENTS:,,
Call Options,,
Up,221,74,143,52,193,,
Down,312,501,384,552,273,,
Steady,19,9,18,10,22,,
TOTAL,552,584,545,614,488,,
Put Options,,
Up,103,360,269,509,154,,
Down,389,164,263,115,326,,
Steady,9,19,28,17,14,,
TOTAL,501,543,560,641,494,,
,
