National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-09-06T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Sep  1,Sep  2,Sep  3,Sep  4,Sep  5,,
Volume ('000s),,
Industrials,"690,531","697,382","807,129","799,509","786,072",,
Mining,"944,991","999,898","992,149","1,114,901","1,221,466",,
TOTAL,"1,635,522","1,697,280","1,799,278","1,914,410","2,007,538",,
Value ($'000s),,
Industrials,"2,507,889","2,668,920","3,184,919","2,905,051","2,516,972",,
Mining,"566,447","641,589","864,244","811,466","891,605",,
TOTAL,"3,074,336","3,310,509","4,049,163","3,716,517","3,408,577",,
MOVEMENTS:,,
Industrials,,
Up,351,375,351,268,238,,
Down,291,269,294,347,377,,
Steady,181,178,176,190,179,,
TOTAL,823,822,821,805,794,,
Mining,,
Up,191,195,185,203,166,,
Down,220,210,221,215,247,,
Steady,212,214,218,221,223,,
TOTAL,623,619,624,639,636,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"157,991","254,111","223,956","129,566","153,908",,
Put Options,"126,788","124,103","246,941","217,953","219,984",,
TOTAL,"284,779","378,214","470,897","347,519","373,892",,
Value ($'000s),,
Call Options,"43,371","86,609","62,387","6,445","11,997",,
Put Options,"5,871","5,630","15,049","9,314","9,681",,
TOTAL,"49,242","92,239","77,436","15,759","21,678",,
MOVEMENTS:,,
Call Options,,
Up,231,231,355,117,94,,
Down,185,196,147,295,313,,
Steady,26,33,16,8,13,,
TOTAL,442,460,518,420,420,,
Put Options,,
Up,74,86,103,239,323,,
Down,306,282,369,187,130,,
Steady,19,11,18,21,24,,
TOTAL,399,379,490,447,477,,
,
