National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-02-14T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb  9,Feb 10,Feb 11,Feb 12,Feb 13,,
Volume ('000s),,
Industrials,"1,059,933","744,711","756,524","975,833","879,413",,
Mining,"897,326","860,196","728,075","928,393","776,015",,
TOTAL,"1,957,259","1,604,907","1,484,599","1,904,226","1,655,428",,
Value ($'000s),,
Industrials,"3,365,564","3,387,256","3,884,353","5,002,686","4,417,942",,
Mining,"659,496","668,017","794,045","993,466","1,480,183",,
TOTAL,"4,025,060","4,055,273","4,678,398","5,996,152","5,898,125",,
MOVEMENTS:,,
Industrials,,
Up,325,274,372,298,470,,
Down,328,367,272,354,203,,
Steady,176,175,153,169,164,,
TOTAL,829,816,797,821,837,,
Mining,,
Up,120,167,142,141,234,,
Down,188,166,196,185,134,,
Steady,229,196,190,201,187,,
TOTAL,537,529,528,527,555,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"185,049","157,706","181,625","173,229","324,747",,
Put Options,"165,054","164,015","157,263","162,644","214,345",,
TOTAL,"350,103","321,721","338,888","335,873","539,092",,
Value ($'000s),,
Call Options,"19,204","14,362","41,897","32,653","77,120",,
Put Options,"8,683","7,997","10,623","10,687","12,750",,
TOTAL,"27,887","22,359","52,520","43,340","89,870",,
MOVEMENTS:,,
Call Options,,
Up,201,231,159,147,592,,
Down,264,231,301,271,123,,
Steady,15,17,14,13,16,,
TOTAL,480,479,474,431,731,,
Put Options,,
Up,183,136,236,225,28,,
Down,178,228,192,163,464,,
Steady,24,27,22,28,7,,
TOTAL,385,391,450,416,499,,
,
