National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-12-07T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Dec  2,Dec  3,Dec  4,Dec  5,Dec  6,,
Volume ('000s),,
Industrials,"939,355","932,681","1,011,808","1,318,884","817,526",,
Mining,"615,551","715,180","745,142","758,287","599,634",,
TOTAL,"1,554,906","1,647,861","1,756,950","2,077,171","1,417,160",,
Value ($'000s),,
Industrials,"3,062,367","3,338,360","3,153,288","4,273,787","2,775,080",,
Mining,"776,447","853,561","959,143","1,074,270","664,205",,
TOTAL,"3,838,814","4,191,921","4,112,431","5,348,057","3,439,285",,
MOVEMENTS:,,
Industrials,,
Up,176,200,278,210,222,,
Down,409,368,325,368,332,,
Steady,168,163,143,153,178,,
TOTAL,753,731,746,731,732,,
Mining,,
Up,164,144,158,186,210,,
Down,212,272,225,202,173,,
Steady,223,201,217,200,215,,
TOTAL,599,617,600,588,598,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"174,681","163,804","345,002","202,373","253,918",,
Put Options,"145,858","218,713","211,835","207,740","323,292",,
TOTAL,"320,539","382,517","556,837","410,113","577,210",,
Value ($'000s),,
Call Options,"11,227","8,332","175,034","19,574","17,541",,
Put Options,"8,529","12,168","15,564","12,181","15,378",,
TOTAL,"19,756","20,500","190,598","31,755","32,919",,
MOVEMENTS:,,
Call Options,,
Up,88,102,184,109,102,,
Down,415,401,345,405,478,,
Steady,17,17,27,20,13,,
TOTAL,520,520,556,534,593,,
Put Options,,
Up,367,350,273,398,547,,
Down,203,174,242,164,148,,
Steady,30,34,29,26,31,,
TOTAL,600,558,544,588,726,,
,
