National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-01-15T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 10,Jan 11,Jan 12,Jan 13,Jan 14,,
Volume ('000s),,
Industrials,"809,293","1,397,610","1,104,503","1,042,261","1,067,782",,
Mining,"1,468,244","1,433,693","1,671,136","1,911,069","1,694,865",,
TOTAL,"2,277,537","2,831,303","2,775,639","2,953,330","2,762,647",,
Value ($'000s),,
Industrials,"1,868,130","2,787,905","2,869,888","2,900,143","2,698,902",,
Mining,"1,063,518","1,409,082","1,742,260","1,766,728","1,595,586",,
TOTAL,"2,931,648","4,196,987","4,612,148","4,666,871","4,294,488",,
MOVEMENTS:,,
Industrials,,
Up,293,282,291,397,351,,
Down,282,279,294,191,234,,
Steady,213,215,187,185,189,,
TOTAL,788,776,772,773,774,,
Mining,,
Up,331,247,393,453,361,,
Down,321,392,239,247,287,,
Steady,221,222,232,191,219,,
TOTAL,873,861,864,891,867,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"34,756","32,381","35,629","53,278","30,284",,
Put Options,"30,316","31,514","29,824","39,220","24,928",,
TOTAL,"65,072","63,895","65,453","92,498","55,212",,
Value ($'000s),,
Call Options,"12,154","13,678","10,333","28,386","13,300",,
Put Options,"8,516","14,436","9,709","13,616","13,137",,
TOTAL,"20,670","28,114","20,042","42,002","26,437",,
MOVEMENTS:,,
Call Options,,
Up,129,163,177,437,250,,
Down,269,279,225,117,194,,
Steady,27,23,26,24,28,,
TOTAL,425,465,428,578,472,,
Put Options,,
Up,154,187,166,39,117,,
Down,237,245,240,395,279,,
Steady,24,17,10,9,23,,
TOTAL,415,449,416,443,419,,
,
