National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-06-01T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 27,May 28,May 29,May 30,May 31,,
Volume ('000s),,
Industrials,"656,634","750,307","783,524","741,907","1,045,122",,
Mining,"797,565","747,400","742,175","689,713","1,211,095",,
TOTAL,"1,454,199","1,497,707","1,525,699","1,431,620","2,256,217",,
Value ($'000s),,
Industrials,"3,113,107","3,091,682","3,839,928","4,782,040","7,035,521",,
Mining,"694,314","846,151","1,041,965","1,060,132","2,141,104",,
TOTAL,"3,807,421","3,937,833","4,881,893","5,842,172","9,176,625",,
MOVEMENTS:,,
Industrials,,
Up,188,310,325,181,316,,
Down,345,236,227,351,221,,
Steady,161,136,146,148,135,,
TOTAL,694,682,698,680,672,,
Mining,,
Up,135,186,202,179,240,,
Down,312,235,217,234,171,,
Steady,214,220,237,229,206,,
TOTAL,661,641,656,642,617,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"291,587","279,080","488,551","488,693","294,523",,
Put Options,"363,717","338,477","399,896","640,052","240,990",,
TOTAL,"655,304","617,557","888,447","1,128,745","535,513",,
Value ($'000s),,
Call Options,"25,584","23,441","225,066","156,270","75,696",,
Put Options,"24,345","37,355","35,436","92,713","15,101",,
TOTAL,"49,929","60,796","260,502","248,983","90,797",,
MOVEMENTS:,,
Call Options,,
Up,93,206,296,198,271,,
Down,636,465,514,689,395,,
Steady,13,23,23,19,37,,
TOTAL,742,694,833,906,703,,
Put Options,,
Up,559,324,394,639,261,,
Down,231,373,412,311,380,,
Steady,28,31,17,34,26,,
TOTAL,818,728,823,984,667,,
,
