National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-07-05T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 30,Jul  1,Jul  2,Jul  3,Jul  4,,
Volume ('000s),,
Industrials,"818,017","714,508","685,107","628,302","665,402",,
Mining,"939,288","800,897","906,732","1,006,777","1,061,099",,
TOTAL,"1,757,305","1,515,405","1,591,839","1,635,079","1,726,501",,
Value ($'000s),,
Industrials,"3,174,019","3,496,456","3,219,762","2,782,849","2,481,997",,
Mining,"825,580","920,031","879,683","966,736","808,330",,
TOTAL,"3,999,599","4,416,487","4,099,445","3,749,585","3,290,327",,
MOVEMENTS:,,
Industrials,,
Up,271,315,406,412,386,,
Down,382,279,214,192,235,,
Steady,177,160,143,167,156,,
TOTAL,830,754,763,771,777,,
Mining,,
Up,194,269,203,268,275,,
Down,300,108,174,142,164,,
Steady,300,201,201,203,189,,
TOTAL,794,578,578,613,628,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"155,498","171,505","201,446","297,620","216,858",,
Put Options,"159,366","193,976","165,734","165,204","155,591",,
TOTAL,"314,864","365,481","367,180","462,824","372,449",,
Value ($'000s),,
Call Options,"12,555","24,734","7,839","10,171","20,836",,
Put Options,"6,911","9,991","8,887","6,513","6,019",,
TOTAL,"19,466","34,725","16,726","16,684","26,855",,
MOVEMENTS:,,
Call Options,,
Up,82,79,356,474,450,,
Down,390,389,159,92,70,,
Steady,17,15,18,22,23,,
TOTAL,489,483,533,588,543,,
Put Options,,
Up,254,311,56,29,11,,
Down,174,167,319,391,379,,
Steady,17,18,12,6,5,,
TOTAL,445,496,387,426,395,,
,
