National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-23T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,May 18,May 19,May 20,May 21,May 22,,
Volume ('000s),,
Industrials,"990,150","920,759","895,737","1,154,293","911,065",,
Mining,"748,007","811,071","847,018","833,858","744,177",,
TOTAL,"1,738,157","1,731,830","1,742,755","1,988,151","1,655,242",,
Value ($'000s),,
Industrials,"3,602,090","4,536,841","4,067,401","4,341,441","3,002,080",,
Mining,"957,623","1,261,904","1,086,895","919,425","626,453",,
TOTAL,"4,559,713","5,798,745","5,154,296","5,260,866","3,628,533",,
MOVEMENTS:,,
Industrials,,
Up,380,285,366,390,384,,
Down,312,384,337,296,279,,
Steady,144,184,157,168,188,,
TOTAL,836,853,860,854,851,,
Mining,,
Up,173,143,146,201,213,,
Down,196,215,223,159,155,,
Steady,173,190,178,201,211,,
TOTAL,542,548,547,561,579,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"216,979","154,562","225,693","184,766","204,740",,
Put Options,"114,396","206,559","284,380","181,173","140,274",,
TOTAL,"331,375","361,121","510,073","365,939","345,014",,
Value ($'000s),,
Call Options,"374,237","15,907","9,574","41,042","131,784",,
Put Options,"7,111","17,397","17,415","14,610","12,065",,
TOTAL,"381,348","33,304","26,989","55,652","143,849",,
MOVEMENTS:,,
Call Options,,
Up,98,43,65,233,208,,
Down,211,314,428,239,336,,
Steady,9,4,8,8,19,,
TOTAL,318,361,501,480,563,,
Put Options,,
Up,137,243,326,144,158,,
Down,197,162,163,285,330,,
Steady,8,7,17,7,15,,
TOTAL,342,412,506,436,503,,
,
