National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4500.5 at 2011-07-29T16:36:37. Processed Thursday at 2011-08-04T18:50:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 25,Jul 26,Jul 27,Jul 28,Jul 29,,
Volume ('000s),,
Industrials,"1,135,981","979,856","1,108,401","1,158,043","1,059,949",,
Mining,"1,122,537","1,175,073","1,032,879","1,180,134","1,199,599",,
TOTAL,"2,258,518","2,154,929","2,141,280","2,338,177","2,259,548",,
Value ($'000s),,
Industrials,"3,772,937","3,299,938","3,569,976","3,474,129","4,404,727",,
Mining,"1,414,601","1,729,788","1,674,703","1,935,261","3,164,977",,
TOTAL,"5,187,538","5,029,726","5,244,679","5,409,390","7,569,704",,
MOVEMENTS:,,
Industrials,,
Up,160,333,204,131,190,,
Down,407,215,346,449,368,,
Steady,167,177,175,159,164,,
TOTAL,734,725,725,739,722,,
Mining,,
Up,218,355,238,135,217,,
Down,391,242,345,491,376,,
Steady,210,203,226,190,204,,
TOTAL,819,800,809,816,797,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"283,758","304,191","388,105","581,045","387,567",,
Put Options,"333,787","351,734","371,400","968,980","498,523",,
TOTAL,"617,545","655,925","759,505","1,550,025","886,090",,
Value ($'000s),,
Call Options,"40,133","10,740","41,107","149,774","152,281",,
Put Options,"21,948","20,125","19,384","74,228","29,713",,
TOTAL,"62,081","30,865","60,491","224,002","181,994",,
MOVEMENTS:,,
Call Options,,
Up,70,288,109,41,62,,
Down,446,215,386,669,628,,
Steady,9,28,17,9,20,,
TOTAL,525,531,512,719,710,,
Put Options,,
Up,377,134,289,734,591,,
Down,175,363,229,137,81,,
Steady,19,12,25,23,17,,
TOTAL,571,509,543,894,689,,
,
