National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-02-08T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb  3,Feb  4,Feb  5,Feb  6,Feb  7,,
Volume ('000s),,
Industrials,"817,438","1,135,187","845,021","701,119","865,495",,
Mining,"624,617","743,721","677,704","647,227","920,225",,
TOTAL,"1,442,055","1,878,908","1,522,725","1,348,346","1,785,720",,
Value ($'000s),,
Industrials,"2,323,210","4,450,256","3,833,104","3,276,580","3,441,795",,
Mining,"534,051","1,051,464","953,693","890,681","1,117,060",,
TOTAL,"2,857,261","5,501,720","4,786,797","4,167,261","4,558,855",,
MOVEMENTS:,,
Industrials,,
Up,247,131,250,374,442,,
Down,325,493,366,219,179,,
Steady,164,143,153,142,146,,
TOTAL,736,767,769,735,767,,
Mining,,
Up,147,138,172,189,251,,
Down,229,263,202,181,146,,
Steady,207,188,207,202,219,,
TOTAL,583,589,581,572,616,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"147,110","293,597","246,832","163,702","221,090",,
Put Options,"139,888","248,144","361,234","235,559","160,355",,
TOTAL,"286,998","541,741","608,066","399,261","381,445",,
Value ($'000s),,
Call Options,"6,544","24,310","15,356","9,647","9,350",,
Put Options,"7,684","19,731","23,622","18,635","9,917",,
TOTAL,"14,228","44,041","38,978","28,282","19,267",,
MOVEMENTS:,,
Call Options,,
Up,125,83,93,335,406,,
Down,355,569,546,224,181,,
Steady,33,10,16,27,31,,
TOTAL,513,662,655,586,618,,
Put Options,,
Up,203,634,504,186,89,,
Down,220,133,153,352,427,,
Steady,37,8,19,14,6,,
TOTAL,460,775,676,552,522,,
,
