National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-02-01T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 24,Jan 28,Jan 29,Jan 30,Jan 31,,
Volume ('000s),,
Industrials,"775,179","980,593","753,402","786,189","799,951",,
Mining,"826,104","946,250","862,498","717,170","1,232,718",,
TOTAL,"1,601,283","1,926,843","1,615,900","1,503,359","2,032,669",,
Value ($'000s),,
Industrials,"2,896,745","4,063,857","3,251,886","3,334,439","3,745,739",,
Mining,"787,778","1,105,147","933,951","1,137,064","1,174,457",,
TOTAL,"3,684,523","5,169,004","4,185,837","4,471,503","4,920,196",,
MOVEMENTS:,,
Industrials,,
Up,245,148,388,185,329,,
Down,331,494,213,409,259,,
Steady,166,137,145,163,165,,
TOTAL,742,779,746,757,753,,
Mining,,
Up,214,132,203,162,177,,
Down,177,285,182,229,189,,
Steady,199,191,205,204,238,,
TOTAL,590,608,590,595,604,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"273,568","279,314","407,516","454,257","316,232",,
Put Options,"293,276","541,002","384,455","589,715","188,028",,
TOTAL,"566,844","820,316","791,971","1,043,972","504,260",,
Value ($'000s),,
Call Options,"11,217","16,701","51,180","248,172","47,441",,
Put Options,"8,917","25,337","39,209","53,533","11,067",,
TOTAL,"20,134","42,038","90,389","301,705","58,508",,
MOVEMENTS:,,
Call Options,,
Up,161,60,248,147,135,,
Down,402,613,390,605,441,,
Steady,17,10,23,30,31,,
TOTAL,580,683,661,782,607,,
Put Options,,
Up,293,668,282,493,241,,
Down,233,168,420,343,282,,
Steady,21,23,16,44,47,,
TOTAL,547,859,718,880,570,,
,
