National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-11-01T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 27,Oct 28,Oct 29,Oct 30,Oct 31,,
Volume ('000s),,
Industrials,"732,532","775,219","939,623","824,243","912,356",,
Mining,"833,169","847,887","734,545","771,544","921,754",,
TOTAL,"1,565,701","1,623,106","1,674,168","1,595,787","1,834,110",,
Value ($'000s),,
Industrials,"2,982,498","2,802,117","3,629,326","3,105,161","4,883,202",,
Mining,"710,864","829,823","825,736","697,593","1,476,008",,
TOTAL,"3,693,362","3,631,940","4,455,062","3,802,754","6,359,210",,
MOVEMENTS:,,
Industrials,,
Up,376,294,348,352,437,,
Down,265,330,286,257,194,,
Steady,178,184,175,182,171,,
TOTAL,819,808,809,791,802,,
Mining,,
Up,145,135,191,145,182,,
Down,211,230,182,229,184,,
Steady,205,194,194,201,203,,
TOTAL,561,559,567,575,569,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"280,970","261,322","307,380","902,287","417,437",,
Put Options,"254,602","256,245","314,476","418,566","209,020",,
TOTAL,"535,572","517,567","621,856","1,320,853","626,457",,
Value ($'000s),,
Call Options,"16,098","117,574","57,547","310,723","118,046",,
Put Options,"17,513","19,866","26,967","52,287","9,335",,
TOTAL,"33,611","137,440","84,514","363,010","127,381",,
MOVEMENTS:,,
Call Options,,
Up,358,255,297,383,409,,
Down,123,209,238,272,223,,
Steady,23,26,18,25,18,,
TOTAL,504,490,553,680,650,,
Put Options,,
Up,45,167,153,146,58,,
Down,416,303,349,408,397,,
Steady,3,24,29,10,13,,
TOTAL,464,494,531,564,468,,
,
