National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-08-15T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 10,Aug 11,Aug 12,Aug 13,Aug 14,,
Volume ('000s),,
Industrials,"683,893","796,753","820,185","806,148","831,257",,
Mining,"672,820","968,971","1,044,633","922,611","1,140,921",,
TOTAL,"1,356,713","1,765,724","1,864,818","1,728,759","1,972,178",,
Value ($'000s),,
Industrials,"3,447,529","3,920,244","4,262,654","3,653,635","3,442,641",,
Mining,"486,121","912,747","1,063,979","752,160","765,126",,
TOTAL,"3,933,650","4,832,991","5,326,633","4,405,795","4,207,767",,
MOVEMENTS:,,
Industrials,,
Up,338,328,210,315,79,,
Down,349,374,472,372,79,,
Steady,191,179,162,172,43,,
TOTAL,878,881,844,859,201,,
Mining,,
Up,149,195,142,202,37,,
Down,178,162,206,143,45,,
Steady,185,187,177,174,35,,
TOTAL,512,544,525,519,117,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"187,041","210,029","170,875","168,949","144,952",,
Put Options,"123,751","167,727","206,276","151,253","200,428",,
TOTAL,"310,792","377,756","377,151","320,202","345,380",,
Value ($'000s),,
Call Options,"27,389","25,554","11,774","7,971","6,408",,
Put Options,"13,566","15,388","19,589","8,949","12,802",,
TOTAL,"40,955","40,942","31,363","16,920","19,210",,
MOVEMENTS:,,
Call Options,,
Up,130,164,25,164,16,,
Down,307,312,437,266,70,,
Steady,27,23,8,23,5,,
TOTAL,464,499,470,453,91,,
Put Options,,
Up,229,258,507,204,60,,
Down,175,196,97,190,20,,
Steady,20,15,9,9,0,,
TOTAL,424,469,613,403,80,,
,
