National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-11-06T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Nov  1,Nov  2,Nov  3,Nov  4,Nov  5,,
Volume ('000s),,
Industrials,"844,742","738,434","1,245,333","1,451,995","1,233,790",,
Mining,"1,503,559","1,040,216","1,357,303","1,377,930","2,008,288",,
TOTAL,"2,348,301","1,778,650","2,602,636","2,829,925","3,242,078",,
Value ($'000s),,
Industrials,"2,675,475","2,510,254","3,351,685","4,072,345","4,101,253",,
Mining,"1,319,842","897,398","1,289,585","2,535,880","2,742,971",,
TOTAL,"3,995,317","3,407,652","4,641,270","6,608,225","6,844,224",,
MOVEMENTS:,,
Industrials,,
Up,344,247,303,330,395,,
Down,238,303,241,245,202,,
Steady,192,155,211,186,217,,
TOTAL,774,705,755,761,814,,
Mining,,
Up,352,276,338,342,461,,
Down,265,298,279,276,196,,
Steady,223,222,215,217,208,,
TOTAL,840,796,832,835,865,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"38,634","17,694","40,868","48,372","71,612",,
Put Options,"23,736","15,624","34,680","38,772","57,105",,
TOTAL,"62,370","33,318","75,548","87,144","128,717",,
Value ($'000s),,
Call Options,"87,584","10,737","28,255","28,951","58,632",,
Put Options,"10,160","6,974","14,151","18,617","22,605",,
TOTAL,"97,744","17,711","42,406","47,568","81,237",,
MOVEMENTS:,,
Call Options,,
Up,328,127,320,326,476,,
Down,169,207,199,226,176,,
Steady,28,26,25,20,23,,
TOTAL,525,360,544,572,675,,
Put Options,,
Up,73,153,72,109,94,,
Down,317,180,378,377,518,,
Steady,13,26,10,15,13,,
TOTAL,403,359,460,501,625,,
,
