National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-02-07T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Feb  2,Feb  3,Feb  4,Feb  5,Feb  6,,
Volume ('000s),,
Industrials,"764,068","914,116","971,696","779,854","733,074",,
Mining,"649,543","722,963","941,593","679,260","623,229",,
TOTAL,"1,413,611","1,637,079","1,913,289","1,459,114","1,356,303",,
Value ($'000s),,
Industrials,"3,208,267","4,319,212","4,737,177","4,142,444","3,648,747",,
Mining,"861,550","1,039,244","1,395,752","895,143","681,512",,
TOTAL,"4,069,817","5,358,456","6,132,929","5,037,587","4,330,259",,
MOVEMENTS:,,
Industrials,,
Up,325,437,446,416,399,,
Down,344,275,255,273,285,,
Steady,164,125,151,159,165,,
TOTAL,833,837,852,848,849,,
Mining,,
Up,155,190,223,166,172,,
Down,163,192,154,190,174,,
Steady,186,155,206,187,208,,
TOTAL,504,537,583,543,554,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"174,289","309,638","403,260","272,258","267,391",,
Put Options,"137,237","289,166","312,071","227,521","215,709",,
TOTAL,"311,526","598,804","715,331","499,779","483,100",,
Value ($'000s),,
Call Options,"12,296","32,261","119,130","48,865","89,743",,
Put Options,"8,059","14,679","17,005","13,834","10,663",,
TOTAL,"20,355","46,940","136,135","62,699","100,406",,
MOVEMENTS:,,
Call Options,,
Up,370,522,693,451,473,,
Down,147,109,73,133,105,,
Steady,20,8,10,15,21,,
TOTAL,537,639,776,599,599,,
Put Options,,
Up,83,47,31,109,107,,
Down,320,457,559,401,317,,
Steady,22,13,10,21,30,,
TOTAL,425,517,600,531,454,,
,
