National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-07-18T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jul 13,Jul 14,Jul 15,Jul 16,Jul 17,,
Volume ('000s),,
Industrials,"577,743","681,641","837,524","924,650","596,668",,
Mining,"596,227","590,665","775,098","757,852","773,231",,
TOTAL,"1,173,970","1,272,306","1,612,622","1,682,502","1,369,899",,
Value ($'000s),,
Industrials,"2,664,030","3,288,190","3,483,554","3,662,609","2,658,742",,
Mining,"540,593","690,801","733,707","639,363","566,393",,
TOTAL,"3,204,623","3,978,991","4,217,261","4,301,972","3,225,135",,
MOVEMENTS:,,
Industrials,,
Up,302,515,443,404,379,,
Down,336,168,227,268,268,,
Steady,169,160,178,172,181,,
TOTAL,807,843,848,844,828,,
Mining,,
Up,135,195,194,153,176,,
Down,155,122,121,170,127,,
Steady,200,183,197,188,195,,
TOTAL,490,500,512,511,498,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"103,996","237,249","225,917","222,134","119,958",,
Put Options,"97,143","125,441","153,563","193,735","89,894",,
TOTAL,"201,139","362,690","379,480","415,869","209,852",,
Value ($'000s),,
Call Options,"23,074","97,483","11,714","45,995","6,230",,
Put Options,"5,849","7,214","7,636","8,540","4,081",,
TOTAL,"28,923","104,697","19,350","54,535","10,311",,
MOVEMENTS:,,
Call Options,,
Up,153,372,394,387,156,,
Down,199,174,163,136,192,,
Steady,17,28,15,13,11,,
TOTAL,369,574,572,536,359,,
Put Options,,
Up,111,41,55,52,65,,
Down,186,315,328,367,268,,
Steady,15,4,4,9,15,,
TOTAL,312,360,387,428,348,,
,
