National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-30T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,,
Volume ('000s),,
Industrials,"748,480","867,532","952,419","1,142,745","1,115,307",,
Mining,"901,582","818,058","1,054,982","986,757","982,881",,
TOTAL,"1,650,062","1,685,590","2,007,401","2,129,502","2,098,188",,
Value ($'000s),,
Industrials,"3,004,198","3,248,474","3,576,292","3,679,259","5,336,243",,
Mining,"862,245","831,982","1,221,515","919,521","1,782,634",,
TOTAL,"3,866,443","4,080,456","4,797,807","4,598,780","7,118,877",,
MOVEMENTS:,,
Industrials,,
Up,322,329,377,246,340,,
Down,304,287,269,390,303,,
Steady,171,185,165,175,170,,
TOTAL,797,801,811,811,813,,
Mining,,
Up,179,165,229,183,217,,
Down,238,240,175,231,180,,
Steady,199,196,220,216,226,,
TOTAL,616,601,624,630,623,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"287,741","318,073","461,199","632,549","289,910",,
Put Options,"200,225","243,547","400,494","435,947","221,637",,
TOTAL,"487,966","561,620","861,693","1,068,496","511,547",,
Value ($'000s),,
Call Options,"76,570","33,981","52,250","82,138","50,625",,
Put Options,"9,301","10,696","20,351","27,992","11,879",,
TOTAL,"85,871","44,677","72,601","110,130","62,504",,
MOVEMENTS:,,
Call Options,,
Up,158,238,356,270,210,,
Down,328,273,212,453,358,,
Steady,19,24,30,28,19,,
TOTAL,505,535,598,751,587,,
Put Options,,
Up,246,158,109,297,210,,
Down,227,324,426,335,300,,
Steady,29,32,18,40,25,,
TOTAL,502,514,553,672,535,,
,
