National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-10-23T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct 18,Oct 19,Oct 20,Oct 21,Oct 22,,
Volume ('000s),,
Industrials,"935,295","1,483,419","1,054,682","1,153,482","939,630",,
Mining,"1,453,013","1,942,233","1,810,005","1,895,613","1,844,742",,
TOTAL,"2,388,308","3,425,652","2,864,687","3,049,095","2,784,373",,
Value ($'000s),,
Industrials,"2,915,740","4,622,284","3,497,979","4,433,582","3,295,859",,
Mining,"1,435,799","2,048,143","2,174,491","1,763,894","1,686,549",,
TOTAL,"4,351,539","6,670,428","5,672,471","6,197,477","4,982,408",,
MOVEMENTS:,,
Industrials,,
Up,257,330,231,322,327,,
Down,324,256,357,235,253,,
Steady,189,197,176,208,191,,
TOTAL,770,783,764,765,771,,
Mining,,
Up,262,303,185,395,319,,
Down,363,329,424,250,304,,
Steady,209,220,203,190,212,,
TOTAL,834,852,812,835,835,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"27,117","30,890","44,078","34,064","30,796",,
Put Options,"30,400","30,411","52,195","45,133","28,857",,
TOTAL,"57,517","61,301","96,273","79,197","59,653",,
Value ($'000s),,
Call Options,"13,654","35,690","16,215","22,440","15,336",,
Put Options,"10,971","11,551","18,223","16,452","10,808",,
TOTAL,"24,625","47,242","34,439","38,893","26,144",,
MOVEMENTS:,,
Call Options,,
Up,90,159,50,179,178,,
Down,321,233,466,244,243,,
Steady,7,17,6,18,26,,
TOTAL,418,409,522,441,447,,
Put Options,,
Up,260,117,387,174,163,,
Down,153,252,95,253,233,,
Steady,17,22,20,26,15,,
TOTAL,430,391,502,453,411,,
,
