National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-01-21T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jan 16,Jan 17,Jan 18,Jan 19,Jan 20,,
Volume ('000s),,
Industrials,"631,582","797,251","916,063","945,230","892,719",,
Mining,"601,659","859,178","878,981","885,705","765,540",,
TOTAL,"1,233,241","1,656,429","1,795,044","1,830,935","1,658,259",,
Value ($'000s),,
Industrials,"1,964,438","2,397,155","2,704,889","2,793,049","2,543,686",,
Mining,"950,331","1,275,535","1,811,731","1,797,491","1,430,624",,
TOTAL,"2,914,769","3,672,690","4,516,620","4,590,540","3,974,310",,
MOVEMENTS:,,
Industrials,,
Up,186,352,225,243,320,,
Down,333,129,253,268,200,,
Steady,148,166,169,172,169,,
TOTAL,667,647,647,683,689,,
Mining,,
Up,179,359,230,258,277,,
Down,298,148,264,244,240,,
Steady,207,217,223,243,221,,
TOTAL,684,724,717,745,738,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"186,350","270,739","357,231","349,966","340,670",,
Put Options,"165,309","208,410","205,265","192,615","212,913",,
TOTAL,"351,659","479,149","562,496","542,581","553,583",,
Value ($'000s),,
Call Options,"7,268","15,802","16,815","21,248","16,701",,
Put Options,"11,947","10,196","12,822","13,424","10,222",,
TOTAL,"19,215","25,998","29,637","34,672","26,923",,
MOVEMENTS:,,
Call Options,,
Up,94,335,364,351,341,,
Down,376,199,247,303,298,,
Steady,12,33,36,41,47,,
TOTAL,482,567,647,695,686,,
Put Options,,
Up,265,46,73,86,111,,
Down,203,389,401,436,369,,
Steady,17,10,15,27,24,,
TOTAL,485,445,489,549,504,,
,
