National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-07-02T23:15:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun 27,Jun 28,Jun 29,Jun 30,Jul  1,,
Volume ('000s),,
Industrials,"1,136,861","1,049,687","1,003,073","1,394,253","903,881",,
Mining,"1,218,840","1,109,422","1,219,258","1,652,316","1,128,007",,
TOTAL,"2,355,701","2,159,109","2,222,331","3,046,569","2,031,888",,
Value ($'000s),,
Industrials,"2,821,680","3,493,677","3,087,299","3,839,122","2,800,825",,
Mining,"1,425,637","1,676,400","1,697,689","1,757,912","1,440,179",,
TOTAL,"4,247,317","5,170,077","4,784,988","5,597,034","4,241,004",,
MOVEMENTS:,,
Industrials,,
Up,137,288,389,434,307,,
Down,517,291,208,217,236,,
Steady,192,237,205,201,151,,
TOTAL,846,816,802,852,694,,
Mining,,
Up,116,276,366,426,436,,
Down,578,338,265,239,163,,
Steady,189,252,237,256,183,,
TOTAL,883,866,868,921,782,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"294,096","421,327","497,955","440,705","274,635",,
Put Options,"234,775","323,115","373,362","306,817","248,597",,
TOTAL,"528,871","744,442","871,317","747,522","523,232",,
Value ($'000s),,
Call Options,"23,791","44,309","52,558","22,379","16,016",,
Put Options,"20,070","19,220","27,607","16,577","17,617",,
TOTAL,"43,861","63,529","80,165","38,956","33,633",,
MOVEMENTS:,,
Call Options,,
Up,64,253,471,601,253,,
Down,485,332,174,91,289,,
Steady,17,30,30,32,23,,
TOTAL,566,615,675,724,565,,
Put Options,,
Up,458,232,155,40,118,,
Down,87,296,478,578,341,,
Steady,15,28,14,5,18,,
TOTAL,560,556,647,623,477,,
,
