National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-16T23:15:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Jun  8,Jun 12,Jun 13,Jun 14,Jun 15,,
Volume ('000s),,
Industrials,"1,024,273","942,279","662,601","749,669","1,051,799",,
Mining,"833,852","827,580","907,442","807,986","817,285",,
TOTAL,"1,858,125","1,769,859","1,570,043","1,557,655","1,869,084",,
Value ($'000s),,
Industrials,"3,252,430","3,007,809","2,407,185","2,153,376","3,149,149",,
Mining,"1,540,341","1,219,281","1,106,387","774,638","1,046,460",,
TOTAL,"4,792,771","4,227,090","3,513,572","2,928,014","4,195,609",,
MOVEMENTS:,,
Industrials,,
Up,189,276,219,196,277,,
Down,322,265,296,326,251,,
Steady,156,180,157,164,171,,
TOTAL,667,721,672,686,699,,
Mining,,
Up,181,186,207,180,245,,
Down,320,339,298,302,249,,
Steady,180,212,229,232,224,,
TOTAL,681,737,734,714,718,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"183,404","281,614","199,679","200,618","182,132",,
Put Options,"234,620","164,027","186,898","174,521","190,895",,
TOTAL,"418,024","445,641","386,577","375,139","373,027",,
Value ($'000s),,
Call Options,"13,772","212,193","12,370","9,002","8,488",,
Put Options,"12,708","10,519","12,748","12,502","12,245",,
TOTAL,"26,480","222,712","25,118","21,504","20,733",,
MOVEMENTS:,,
Call Options,,
Up,158,174,120,62,197,,
Down,310,290,369,398,259,,
Steady,17,36,17,23,49,,
TOTAL,485,500,506,483,505,,
Put Options,,
Up,256,178,195,313,150,,
Down,267,284,233,142,294,,
Steady,15,18,27,21,26,,
TOTAL,538,480,455,476,470,,
,
