National Turnovers Weekly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-10-10T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX NATIONAL: Turnovers,,
,Oct  5,Oct  6,Oct  7,Oct  8,Oct  9,,
Volume ('000s),,
Industrials,"433,797","753,004","830,619","746,914","666,159",,
Mining,"589,258","752,822","759,766","837,082","910,054",,
TOTAL,"1,023,055","1,505,826","1,590,385","1,583,996","1,576,213",,
Value ($'000s),,
Industrials,"1,944,177","3,345,686","3,509,706","3,514,396","3,581,278",,
Mining,"517,868","905,448","1,023,683","1,281,508","1,226,312",,
TOTAL,"2,462,045","4,251,134","4,533,389","4,795,904","4,807,590",,
MOVEMENTS:,,
Industrials,,
Up,480,393,334,403,498,,
Down,189,304,366,297,236,,
Steady,137,148,168,165,139,,
TOTAL,806,845,868,865,873,,
Mining,,
Up,202,156,186,196,209,,
Down,95,158,143,141,136,,
Steady,167,191,177,165,189,,
TOTAL,464,505,506,502,534,,
ASX OPTIONS: Turnovers,,
Volume,,
Call Options,"81,789","179,946","165,014","278,292","177,807",,
Put Options,"50,844","126,898","115,145","173,370","155,045",,
TOTAL,"132,633","306,844","280,159","451,662","332,852",,
Value ($'000s),,
Call Options,"4,445","11,613","7,764","26,046","16,607",,
Put Options,"4,295","8,584","8,137","10,377","8,867",,
TOTAL,"8,740","20,197","15,901","36,423","25,474",,
MOVEMENTS:,,
Call Options,,
Up,311,426,340,414,423,,
Down,98,112,272,163,168,,
Steady,18,21,21,20,19,,
TOTAL,427,559,633,597,610,,
Put Options,,
Up,20,35,92,46,33,,
Down,241,370,369,409,407,,
Steady,1,3,15,7,9,,
TOTAL,262,408,476,462,449,,
,
